"bank_name","card_name","card_type","card_category","card_usp","card_image_url","know_more_link","apply_now_link","joining_fee","annual_fee","annual_fee_waiver","add_on_card_fee","interest_rate_pa","card_replacement_fee","cash_payment_fee","duplicate_statement_fee","outstation_cheque_fee","hostlisting_charges","cash_withdrawal_fee","overdue_penalty_fee","over_limit_penalty","foreign_currency_transaction_fee","reward_point_redemption_fee","dynamic_currency_conversion_markup","education_transaction_fee","wallet_load_transaction_fee","fuel_transaction_fee","utility_transaction_fee","rewards_program","cashback_with_every_transaction","spend_based_reversal","flexipay","reward_points","rewards","features","returns_rate","welcome_benefit","welcome_points","milestone_benefit","bonus_points","fuel_benefits","dining_benefits","culinary_treats","travel_benefits","movie_benefits","OTT_benefits","cashback_offers","voucher_offers","mobile_app_benefits","stay_benefits","lifestyle_benefits","e_commerce","lounge_access","concierge_service","insurance","fraud_protection","health_and_wellness_benefits","security_features","international_use","full_card_description","eligibility_criteria","terms_and_conditions"
"Axis Bank","IndianOil Axis Bank Credit Card","Retail","Fuel","100% Valueback on first fuel transaction","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/indianoil-platinum-credit-card-facia.jpg","https://www.axisbank.com/retail/cards/credit-card/indianoil-axis-bank-credit-card","https://web.axisbank.co.in/DigitalChannel/WebForm/?index6&utm_content=ioclproduct&utm_campaign=cciocl&utm_source=website&axisreferralcode=ioclproduct","Rs. 500","1st Year:-Nil 2nd Year onwards: Rs. 500","Spend more than INR 3,50,000 in a card anniversary year","Nil","3.75% Per Month (55.55% Per Annum)","Nil","Rs.175","Waived","Waived","Nil","2.5% (Min. Rs. 500) of the cash amount","Nil if Total Payment Due is less than Rs. 500 Rs. 500 if total payment due is between Rs. 501 - Rs. 5,000 Rs. 750 if total payment due is between Rs. 5,001 - Rs. 10,000 Rs. 1200 if total payment due is greater than Rs.10,000","2.5% of the over limit amount (Min Rs. 500)","3.5% of the transaction value","INR 99 per transaction on the EDGE REWARDS platform","1.5% plus taxes will be applicable on Axis Bank Credit Cards for each International transaction performed in Indian currency at International location or transactions performed in Indian currency with merchants located in Indian but registered in foreign nation.","","","1% (+GST) of Transaction Amount","","Earn 4% value back on fuel transactions by earning 20 reward points per ₹100 spent at any IOCL fuel outlet in India.","1% value back on online shopping by earning 5 reward points per ₹100 spent.","Spend more than INR 3,50,000 in a card anniversary year and you will be eligible for annual fee waiver","Yes, on spends above ₹2,500","20 reward points per ₹100 spent at any IOCL fuel outlet in India.","Free movie tickets, shopping vouchers.","Fuel Surcharge Waiver, Instant Discount on Bookmyshow, Dining Delights.","4% value back on fuel spends at IndianOil outlets","Earn 100% valueback on Fuel","Up to 1250 EDGE REWARD points on first fuel transactions with your INDIANOIL AXIS BANK Credit Card within first 30 days of card issuance","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants.","Chef’s table invitations.","Free travel insurance, airport transfers.","Buy 1 Get 1 free ticket monthly.","3 months free Netflix.","Specific cashback promotions for eligible transactions.","₹500 Myntra voucher on spends > ₹50,000.","Extra points on app transactions.","10% off at partner hotels.","Free gym membership.","2% cashback on Amazon/Flipkart.","8 free domestic lounge visits per year.","24x7 concierge for travel bookings.","air accident cover, travel insurance.","Zero liability if reported within 24 hours.","medical insurance, wellness programs.","chip & PIN, contactless, 2FA.","Yes, accepted worldwide.","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","age, income, credit score.","All dues must be paid on time; rewards program subject to change."
"Axis Bank","Rewards Credit Card","Retail","Rewards","Unlimited 2 EDGE REWARD points earned on every Rs 125 spend, 10X reward points on apparel and departmental stores.","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/card8.png","https://www.axisbank.com/retail/cards/credit-card/rewards-credit-card","https://maximus.axisbank.co.in/external/customer/login?product=credit_card&channelName=VENDOR&channelCode=WEBSITE&utm_content=prodpage&utm_campaign=rewards&cta=product-rewards-banner-first","Rs. 1,000","Rs. 1,000","Annual fee waived off on annual spends of Rs. 2,00,000 and above.","Nil","55.55% annual","Nil","Rs. 175","Waived","Waived","Waived","2.5% (Min Rs. 500) of the Cash Amount","Nil if outstanding amount is less than Rs. 500; Rs. 500 if outstanding amount is between Rs. 501 and Rs. 5,000; Rs. 750 if outstanding amount is between Rs. 5,001 and Rs. 10,000; Rs. 1000 if outstanding amount is greater than Rs. 10,001.","2.5% of the over-limit amount (Min Rs. 500)","3.50% of the transaction value","No","NILL","NILL","NILL","1% of transaction amount (Refunded for fuel transactions between Rs. 400 and Rs. 5,000)","NILL","Earn 2 points per ₹125 spent, 10X points on apparel and departmental stores.","NILL","Annual fee reversed if spends > ₹2 lakh/year.","Yes, on spends above ₹2,500.","Unlimited 2 EDGE REWARD points on every Rs 125 spend.","Free movie tickets, shopping vouchers, discounts on dining and travel.","Contactless payments, lounge access, insurance benefits.","NILL","Enjoy 5,000 EDGE REWARD points on cumulative net spends of Rs. 1,000 or above within 30 days of card issuance.","5,000 EDGE REWARD points on first transaction.","Earn 1,500 EDGE REWARD points on net spends of Rs 30,000 per statement cycle.","NILL","1% fuel surcharge waiver on fuel purchases at all fuel stations across India.","Get upto 15% off maximum Rs. 500 at partner restaurants in India.","NILL","Complimentary lounge access at select domestic airports.","Buy 1 Get 1 free ticket monthly.","NILL","30% off on Swiggy for food delivery.","₹500 Myntra voucher on spends > ₹50,000.","Extra points on app transactions.","10% off at partner hotels.","Free gym membership.","2% cashback on Amazon/Flipkart.","2 complimentary lounge access per quarter at select domestic airports.","24x7 concierge for travel bookings.","Purchase Protection Cover up to Rs 1 lakh, travel insurance.","Zero liability if reported within 24 hours.","NILL","Chip & PIN, contactless, 2FA.","Yes, accepted worldwide.","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Primary cardholder should be between 18 to 70 years of age, Resident of India.","All dues must be paid on time; rewards program subject to change."
"Axis Bank","Axis Bank Magnus Credit Card","Premium","Travel","Unlimited complimentary international lounge access and 4 additional guest visits per year with priority pass card.","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/magnuscard.png","https://www.axisbank.com/retail/cards/credit-card/axis-bank-magnus-card","https://web.axisbank.co.in/DigitalChannel/WebForm/?index6&axisreferralcode=magnussticky&cta=product-magnus-sticky-apply-now","₹ 12,500","₹ 12,500","Annual fee waived off on spending ₹ 25 Lakhs in the preceding year.","NILL","3% p.m. (42.58% p.a.)","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2%","NILL","NILL","NILL","NILL","NILL","NILL","Earn 12 EDGE reward points for every ₹ 200 spent up to ₹ 1.5 Lakhs and 35 EDGE reward points for every ₹ 200 spent above ₹ 1.5 Lakhs in a calendar month.","NILL","NILL","NILL","12 EDGE reward points for every ₹ 200 spent up to ₹ 1.5 Lakhs and 35 EDGE reward points for every ₹ 200 spent above ₹ 1.5 Lakhs.","Unlimited complimentary international lounge access, dining discounts, and insurance benefits.","Complimentary international lounge access, dining discounts, purchase protection, and credit shield.","NILL","Choose any one voucher worth ₹ 12,500 from Luxe gift card, The Postcard Hotels gift voucher, or Yatra gift voucher.","NILL","NILL","NILL","1% fuel surcharge waiver on transactions between ₹ 400 to ₹ 4,000, capped at ₹ 400 per month.","Up to 30% discount at over 4,000 restaurants across India.","NILL","Up to 15% off on domestic and international Oberoi & Trident hotels.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Unlimited complimentary international lounge visits and unlimited domestic lounge access with minimum spend of ₹ 50,000 in the previous three months.","NILL","Purchase protection of ₹ 2 Lakhs, credit shield of ₹ 5 Lakhs, and insurance against loss/delay in baggage & personal documents worth 500 USD.","NILL","NILL","NILL","Yes, accepted worldwide.","The Axis Bank Magnus Credit Card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Age between 18 to 70 years, minimum annual income of ₹ 24 Lakhs, and resident of India.","All dues must be paid on time; rewards program subject to change."
"Axis Bank","Privilege Credit Card","Retail","Lifestyle","Unlimited free airport lounge access worldwide","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/privilege-credit-card-facia.jpg","https://www.axisbank.com/retail/cards/credit-card/privilege-credit-card-with-unlimited-benefits","https://web.axisbank.co.in/DigitalChannel/WebForm/?index6&axisreferralcode=privstick&cta=product-privilege-sticky-apply-now","Rs. 1500","Rs. 1500","Annual fee waiver on achieving spends of Rs. 5 lakhs in a card anniversary year.","Nil","3.75% per month (55.55% per annum)","Nil","Rs. 175","Waived","Waived","Waived","2.5% (Min. Rs. 500) of the Cash Amount","Nil if Total Payment Due is less than Rs. 500; Rs. 500 if total payment due is between Rs. 501 - Rs. 5,000; Rs. 750 if total payment due is between Rs. 5,001 - Rs. 10,000; Rs. 1200 if total payment due is greater than Rs.10,000; Additional INR 100 on missing payment of Minimum Amount Due (MAD) by the due date for two consecutive cycles.","2.5% of the overlimit amount (Min. Rs. 500)","3.50% of the transaction value","yes","1.5% of each international txn plus taxes","1% fee on education payments made via third party apps","1% fee on cumulative spends of Rs.10,000 or more on wallet loads per statement cycle","1% fee on cumulative spends of Rs.50,000 or more on fuel transactions per statement cycle","1% fee on cumulative spends of Rs. 25,000 or more on utilities per statement cycle","Earn 10 points on every Rs. 200 spent","1% cashback on all spends","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹2,500","10 points on every Rs. 200 spent","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","₹1,000 Amazon voucher","12500 EDGE REWARD Points, Worth Rs 2500 redeemable against vouchers upon levy of joining fees and on completion of 1st transaction within 30 days of card issuance.","Get additional 10,000 Edge reward points worth Rs. 2000 upon achieving spends milestone of Rs. 2.5 lakhs in a card anniversary year.","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef’s table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","Specific cashback promotions for eligible transactions","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","2 Complimentary access per calendar quarter to select domestic lounges","24x7 concierge for travel bookings","Purchase Protection Plan upto Rs. 1 Lakhs, Credit Shield 1 Lakhs","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Primary Cardholder should be 18-70 years of age, Add-on cardholder should be over 15 years, Resident of India or a Non-Resident Indian","All dues must be paid on time; rewards program subject to change."
"Axis Bank","Flipkart Axis Bank Credit Card","Retail","Shopping","Unlimited cashbacks on Flipkart and Myntra spends","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/card2.png","https://www.axisbank.com/retail/cards/credit-card/flipkart-axisbank-credit-card","https://web.axisbank.co.in/DigitalChannel/WebForm/?index6&utm_medium=fkproduct&utm_campaign=ccfk&utm_source=website&axisreferralcode=fkproduct","Rs. 500","2nd year Onwards: Rs. 500","Annual fee waived off on annual spends greater than Rs. 3,50,000.","Nil","3.75% per month (55.55% per annum)","Nil","Rs.175","Waived","Waived","Nil","2.5% (Min. Rs. 500) of the cash amount","Nil if Total Payment Due is less than Rs. 500","2.5% of the over limit amount (Min Rs. 500)","3.5% of the transaction value","No","1.5% markup will be applicable on international transactions","1% fee per transaction will be applicable on education payments made via third party apps","1% fee will be applicable on cumulative spends of INR 10,000 or more on wallet loads per statement cycle","1% fee will be applicable on cumulative spends of INR 50,000 or more on fuel transactions per statement cycle","1% fee will be applicable on cumulative spends of INR 25,000 or more on utilities per statement cycle","Earn 7.5% cashback on Myntra spends capped at INR 4000 per statement quarter","Earn unlimited 4% cashback on Preferred Merchants","Annual fee reversed if spends > ₹3,50,000/year","Yes, on spends above ₹1,500","4 points per ₹150 spent","Free Flipkart vouchers on first transaction","Unlimited cashback, fuel surcharge waiver, dining discounts","6%","Rs. 350 worth of activation benefits","NILL","NILL","NILL","1% fuel surcharge waiver","15% off at 10,000+ partner restaurants","NILL","Complimentary airport lounge access","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2% cashback on Flipkart","4 complimentary lounge visits per year","NILL","NILL","Zero liability if reported within 24 hours","NILL","Chip & PIN, contactless payments","Yes, accepted worldwide","This card offers unlimited cashbacks on Flipkart and Myntra, making it ideal for frequent shoppers.","Primary cardholder should be between the age of 18 and 70 years, Resident of India","All dues must be paid on time; rewards program subject to change."
"Axis Bank","MY ZONE Credit Card","Retail","Dining, Travel, Shopping","Enjoy complimentary lounge access, instant discounts on Swiggy, and a complimentary SonyLIV Premium subscription.","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/my-zone-credit-card-facia.jpg","https://www.axisbank.com/retail/cards/credit-card/my-zone-credit-card","https://web.axisbank.co.in/DigitalChannel/WebForm/?index6&utm_medium=stickyapplynow&utm_campaign=ccmyzone&utm_source=website&axisreferralcode=myzonesticky","Rs. 500","Rs. 500","NILL","Nil","3.75% per month (55.55% per annum)","Nil","Rs. 175","Waived","Waived","Nil","2.5% (Min. Rs. 500) of the cash amount","Nil if total payment due is up to Rs. 500; Rs. 500 if total payment due is between Rs. 501 - Rs. 5,000; Rs. 750 if total payment due is between Rs. 5,001 - Rs. 10,000; Rs. 1200 if total payment due is greater than Rs.10,000","2% of the payment amount subject to minimum of Rs.500","3.50% of the transaction value","yes","1.5% Of Transaction Amount Applicable On International Transactions Performed In Indian Currency","1% on each education payments done through third party apps","1% on cumulative wallet load transactions of Rs. 10,000 or more in a statement cycle","1% on cumulative fuel transactions of Rs. 50,000 or more in a statement cycle","1% on cumulative spends of Rs. 25,000 or more made towards utility payments in a statement cycle","Earn four EDGE REWARD points for every ₹200 spent","1% cashback on all spends","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹1,500","4 points per ₹200 spent","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","₹1,000 Amazon voucher","2,500 points on first transaction","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef’s table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","Specific cashback promotions for eligible transactions","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","1 complimentary access per calendar quarter to select airport lounges in India","24x7 concierge for travel bookings","air accident cover, travel insurance","Zero liability if reported within 24 hours","medical insurance, wellness programs","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Primary cardholder should be between 18 to 70 years of age, Resident of India or Non-Resident Indian","All dues must be paid on time; rewards program subject to change."
"Axis Bank","Neo Credit Card","Retail","Lifestyle","40% off on Zomato, 10% off on Blinkit, and up to ₹1,200 on movies","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/neo-credit-card-facia.jpg","https://www.axisbank.com/retail/cards/credit-card/neo-credit-card","https://web.axisbank.co.in/DigitalChannel/WebForm/?index6&utm_medium=cclisting&utm_campaign=ccneo&utm_source=website&axisreferralcode=neolistfeat","₹250","₹250","Lifetime Free for select channels","Nil","55.55%","Nil","₹175","Waived","Waived","Nil","2.5% (Min. ₹500) of the Cash Amount","Nil if Total Payment Due is less than ₹500, ₹500 if total payment due is between ₹501 - ₹5,000, ₹750 if total payment due is between ₹5,001 - ₹10,000, ₹1200 if total payment due is greater than ₹10,000","2.5% of over the limit amount (Min. ₹500)","3.50% of the transaction value","Yes","1.5% plus taxes will be applicable on Axis Bank Credit Cards for each International transaction performed in Indian currency at International location or transactions performed in Indian currency with merchants located in Indian but registered in foreign nation.","1% fee per transaction will be applicable on education payments made via third party apps","1% fee will be applicable on cumulative spends of ₹10,000 or more on wallet loads per statement cycle","1% fee will be applicable on cumulative spends of ₹50,000 or more on fuel transactions per statement cycle","1% fee will be applicable on cumulative spends of ₹25,000 or more on utilities per statement cycle","Earn 1 point for every ₹200 spent","Yes","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹2,500","1 point for every ₹200 spent","Discounts on Zomato, Blinkit, and utility bill payments","EMV certified chip and PIN, Zero lost card liability, Convert purchases to EMI","0.1%","100% cashback up to ₹300 on first utility bill payment within first 30 days of card issuance","500 points on first transaction","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","15% off at partner restaurants","NILL","NILL","10% off on movie tickets","NILL","NILL","NILL","Extra points on app transactions","NILL","NILL","2% cashback on Amazon/Flipkart","NILL","NILL","NILL","Zero liability if reported within 24 hours","NILL","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Primary cardholder should be 18-70 years of age, Add-on cardholder should be over 18 years, Resident of India or a Non-Resident Indian","All dues must be paid on time; rewards program subject to change."
"Axis Bank","Axis Bank Select Credit Card","Credit Card","Lifestyle","10,000 EDGE Reward Points worth Rs. 2,000 on first transaction, discounts on Swiggy and BigBasket, complimentary lounge access","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/select-credit-card-facia.jpg","https://www.axisbank.com/retail/cards/credit-card/axis-bank-select-credit-card","https://web.axisbank.co.in/DigitalChannel/WebForm/?index6&utm_medium=cclisting&utm_campaign=ccselect&utm_source=website&axisreferralcode=selectlisting","₹ 3000","₹ 3000","Waived on spending ₹ 8 lakh in an anniversary year","NILL","3.75% per month (55.55% per annum)","NILL","₹ 175","Waived","Waived","Waived","2.5% or a minimum of ₹ 500","Nil if total payment due is up to ₹ 500; ₹ 500 if total payment due is between ₹ 501 - ₹ 5,000; ₹ 750 if total payment due is between ₹ 5,001 - ₹ 10,000; ₹ 1,200 if total payment due is greater than ₹ 10,000","2.5% of the overlimit amount (Min. ₹ 500)","3.5%","NILL","1.5%","1%","1% if cumulative spends of ₹ 10,000 or more on wallet loads per statement cycle","1% if cumulative spends of ₹ 50,000 or more on fuel transactions per statement cycle","1% if cumulative spends of ₹ 25,000 or more on utilities per statement cycle","Earn 10 EDGE points on every ₹ 200 spent; 2X points on retail shopping","NILL","Annual fee waived on spending ₹ 8 lakh in an anniversary year","Available for transactions above ₹ 2,500","10 EDGE points per ₹ 200 spent","Discounts on Swiggy, BigBasket, and complimentary lounge access","Complimentary Priority Pass membership, 12 international lounge visits, 2 domestic lounge visits per quarter","NILL","10,000 EDGE Reward Points worth ₹ 2,000 on first transaction","10,000 EDGE Reward Points","5,000 EDGE points on spending ₹ 3 lakh in a card anniversary year","NILL","1% fuel surcharge waiver","Up to ₹ 800 off on dining bills through Axis Bank Dining Delights Program","NILL","Complimentary Priority Pass membership, 12 international lounge visits","Buy one get one free movie ticket up to ₹ 250","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary access to international lounges with Priority Pass membership","NILL","Purchase protection cover worth up to ₹ 1 lakh","NILL","NILL","NILL","Yes, accepted worldwide","The Axis Bank Select Credit Card offers a range of lifestyle benefits including discounts on food and groceries, airport lounge access, and a robust rewards program, making it ideal for frequent shoppers and travelers.","Primary cardholder should be 18-70 years of age, resident of India, net income should be a minimum of ₹ 6 lakh P.A.","All dues must be paid on time; rewards program subject to change."
"Axis Bank","Axis Bank Atlas Credit Card","Retail","Travel","An airlines agnostic travel credit card designed to benefit you on every travel you make.","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/atlas-credit-card-facia.jpg","https://www.axisbank.com/retail/cards/credit-card/axis-bank-atlas-credit-card","https://web.axisbank.co.in/DigitalChannel/WebForm/?index6&axisreferralcode=Atlassticky&cta=product-atlas-sticky-apply-now","5000","5000","NILL","NILL","3.75% per month (55.55% per annum)","NILL","175","Waived","Waived","Waived","2.5% (Min. Rs 500) of the Cash Amount","NILL","2.5% of the overlimit amount (Min. Rs 500)","3.50% of the transaction value","99","1.5%","1%","1%","1%","1%","Earn 2 EDGE Miles per ₹100 spent on other spends and 5 EDGE Miles per ₹100 spent on travel.","NILL","NILL","NILL","NILL","NILL","Complimentary airport lounge access, travel insurance, and exclusive travel portal discounts.","NILL","2500 EDGE Miles as welcome benefit upon first transaction within 37 days from card issuance.","2500","Earn additional EDGE Miles on achieving spending milestones.","NILL","1% fuel surcharge waiver on fuel transactions between ₹400 to ₹4,000.","Up to 40% discount at over 4000 restaurants across India.","NILL","Unlimited complimentary international lounge visits and 8 additional guest visits per year with the Priority Pass card.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Unlimited complimentary international lounge visits and 8 additional guest visits per year with the Priority Pass card.","24X7 dedicated concierge service for assistance on flight bookings, table reservations, and more.","Complimentary travel insurance including air accident coverage and lost baggage insurance.","Zero liability if reported within 24 hours.","Virtual health assistance including tele-consultation and health coaching.","Chip & PIN, contactless payments.","Yes, accepted worldwide.","The Axis Bank Atlas Credit Card is a premium offering designed specifically for frequent travellers, providing a variety of travel-related perks and rewards.","Primary cardholder must be between 18 and 70 years old, with a minimum annual income of ₹12 lakh for salaried and ₹15 lakh for self-employed individuals.","All dues must be paid on time; rewards program subject to change."
"Axis Bank","Axis Bank AURA Credit Card","Retail","Health and Wellness","Exclusive health and wellness benefits including free doctor consultations and fitness sessions.","https://www.axisbank.com/images/default-source/revamp_new/cards/cc-new/aura-credit-card-facia.jpg","https://www.axisbank.com/retail/cards/credit-card/axis-bank-aura-credit-card","https://maximus.axisbank.co.in/external/customer/login?product=credit_card&channelName=VENDOR&channelCode=WEBSITE&utm_content=prodpage&utm_campaign=aura&cta=product-aura-banner-first","₹749","₹749","NILL","Nil","3.75% per month (55.55% per annum)","Waived","₹100","Waived","Waived","Nil","2.5% (Min. ₹500) of the cash amount","Nil if Total Payment Due is less than ₹500; ₹500 if total payment due is between ₹501 - ₹5,000; ₹750 if total payment due is between ₹5,001 - ₹10,000; ₹1,200 if total payment due is greater than ₹10,000","3% of the over limit amount (Min ₹500)","3.5% of the transaction value","Yes","1.5% of transaction amount + taxes","NILL","NILL","1% fee will be applicable on cumulative spends of ₹50,000 or more on fuel transactions per statement cycle","1% fee will be applicable on cumulative spends of ₹25,000 or more on utilities per statement cycle","2 EDGE reward points on every ₹200 spent; 5X EDGE reward points on insurance spends","NILL","NILL","NILL","2 EDGE reward points on every ₹200 spent; 5X on insurance spends","Free doctor consultations, fitness sessions, discounts on health check-ups","Complimentary video consultations, fitness sessions, discounts on health check-ups, fuel surcharge waiver","NILL","Welcome voucher worth ₹750 from Decathlon","NILL","NILL","NILL","1% fuel surcharge waiver on transactions between ₹400 and ₹4,000, capped at ₹250 per statement cycle","Up to 20% discount on dining at partner restaurants","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Free doctor consultations, fitness sessions, discounts on health check-ups","NILL","Yes, accepted worldwide","The Axis Bank AURA Credit Card offers exclusive health and wellness benefits, including free doctor consultations, fitness sessions, and discounts on health check-ups, making it ideal for health-conscious individuals.","Primary applicant must be between 18-70 years; add-on cardholder must be above 15 years; must be a resident of India or a non-resident Indian.","All dues must be paid on time; rewards program subject to change."
