"bank_name","card_name","card_type","card_category","card_usp","card_image_url","know_more_link","apply_now_link","joining_fee","annual_fee","annual_fee_waiver","add_on_card_fee","interest_rate_pa","card_replacement_fee","cash_payment_fee","duplicate_statement_fee","outstation_cheque_fee","hostlisting_charges","cash_withdrawal_fee","overdue_penalty_fee","over_limit_penalty","foreign_currency_transaction_fee","reward_point_redemption_fee","dynamic_currency_conversion_markup","education_transaction_fee","wallet_load_transaction_fee","fuel_transaction_fee","utility_transaction_fee","rewards_program","cashback_with_every_transaction","spend_based_reversal","flexipay","reward_points","rewards","features","returns_rate","welcome_benefit","welcome_points","milestone_benefit","bonus_points","fuel_benefits","dining_benefits","culinary_treats","travel_benefits","movie_benefits","OTT_benefits","cashback_offers","voucher_offers","mobile_app_benefits","stay_benefits","lifestyle_benefits","e_commerce","lounge_access","concierge_service","insurance","fraud_protection","health_and_wellness_benefits","security_features","international_use","full_card_description","eligibility_criteria","terms_and_conditions"
"Bank of Baroda","BOBCARD ETERNA","Premium","Lifestyle & Travel","Unlimited Complimentary Access to Domestic Airport lounges, 5X Rewards on dining and travel spends","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fabol2qea%2Feterna-shadow-19-feb24.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/eterna","https://mycard.bobcard.tech/?utm_source=webcollatioet&utm_medium=bobcard&utm_campaign=collatio","₹2499","₹2499","Spend ₹25,000 in the first 60 days and get your joining fee reversed; Spend ₹2,50,000 in every card anniversary year and get your annual fee reversed","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Reduced Forex mark-up of 2% on International Spends","Redeem your reward points as cashback @ 1 reward point = ₹0.25","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India on transactions between ₹400 and ₹5,000 (Max. ₹250 per statement cycle)","NILL","Earn 5X Rewards on dining and travel spends","1% cashback on all spends","Annual fee reversed if spends > ₹2,50,000/year","Yes, on spends above ₹2,500","15 Reward Points per ₹100 spent on dining and travel","Free movie tickets, shopping vouchers","Contactless payments, lounge access, Smart EMI option","NILL","Complimentary 6-months FITPASS Pro Membership worth ₹15,000","10,000 bonus reward points on spending ₹50,000 within the first 60 days","20,000 bonus reward points on spending ₹5,00,000 in a year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef’s table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","Unlimited Complimentary Access to Domestic Airport lounges","24x7 concierge for travel bookings","Free Personal Accidental Death Cover (Air: ₹1 Crs, Non-Air: ₹10 Lakhs)","Zero liability on lost card if reported immediately","Medical insurance, wellness programs","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Indian Resident, Salaried/Self-employed with an income > ₹12 Lakhs p.a., Age: 21 to 65 years (Primary Cardholder)","All dues must be paid on time; rewards program subject to change."
"Bank of Baroda","BOBCARD TIARA","Retail","Women","Your Woman Card, Your Power Move – The Best Credit Card for Women","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fwjqbrw5j%2Fbob-tiara-women-jcb-int-rupay-di-cc_35618905_12-02.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/tiara","https://mycard.bobcard.tech/?utm_source=webcollatio&utm_medium=bobcard&utm_campaign=collatio","₹2499","₹2499","Spend ₹25,000 in the first 60 days and get your joining fee reversed. Spend ₹2,50,000 in every card anniversary year and get your annual fee reversed.","Free for up to 3 add-on cards","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India on transactions between ₹400 and ₹5,000 (Max. ₹250 per statement cycle)","NILL","15 Reward Points per ₹100 spent on Dining, Travel, and International spends. 3 Reward Points per ₹100 spent on other purchases.","Redeem your reward points as cashback. All your accumulated reward points can be redeemed for cashback.","Annual fee reversed if spends > ₹2,50,000/year.","Yes, on spends above ₹2,500.","3 Reward Points for every ₹100 spent on other categories.","Complimentary Annual Memberships for Amazon Prime/ Jio Hotstar, Gaana Plus, and more.","Contactless Safe Payments, Zero Liability on lost card, Free Add-on card, Smart EMI option.","NILL","₹500 Discount voucher per quarter","NILL","Free flight ticket on spends above ₹5 lakh/year.","500 points on birthday month.","1% fuel surcharge waiver.","20% off at select restaurants.","Chef’s table invitations.","Free travel insurance, airport transfers.","Flat ₹250 on minimum purchase of 2 movie/non-movie tickets quarterly.","Free Annual Membership for OTT services.","Specific cashback promotions for eligible transactions.","₹500 Myntra voucher on spends > ₹50,000.","Extra points on app transactions.","10% off at partner hotels.","Free gym membership.","2% cashback on Amazon/Flipkart.","Unlimited lounge access at domestic airports with minimum spends of Rs 40,000 in the preceding calendar quarter.","24x7 concierge for travel bookings.","Women-centric health & insurance pack.","Zero liability if reported within 24 hours.","Complimentary Women's Health Package including Pap Smear & Blood Tests and Mammography package.","Chip & PIN, contactless, 2FA.","Yes, accepted worldwide.","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Indian Resident, Age 21 to 60 years for Salaried, Age 21 to 65 years for Self-Employed, Min Annual Income >= Rs. 7.2L.","All dues must be paid on time; rewards program subject to change."
"Bank of Baroda","BOBCARD PREMIER","Premium","Travel","5X Rewards on travel, dining & international spends, quarterly complimentary airport lounge access, fuel surcharge waiver, 500 welcome bonus reward points.","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Frmmjc55a%2Fpremier-shadow-19-feb24.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/premier","https://mycard.bobcard.tech/?utm_source=webcollatioprmr&utm_medium=bobcard&utm_campaign=collatio","₹1000","₹1000","Spend ₹10,000 in the first 60 days and get joining fee reversed; Spend ₹1,20,000 in every card anniversary year and get your annual fee reversed.","Free for up to 3 add-on cards","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1 reward point = ₹0.25","NILL","NILL","NILL","1% fuel surcharge waiver on transactions between ₹400 and ₹5,000 (Max. ₹250 per statement cycle)","NILL","Earn 5X Rewards on travel, dining & international spends; 2 Reward Points per ₹100 spent on all other categories","1% cashback on all spends","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹2,500","10 Reward Points per ₹100 spent on Travel & International Spends; 10 Reward Points per ₹100 spent on Dining","Free movie tickets, shopping vouchers","Contactless payments, lounge access, Smart EMI option","NILL","500 bonus reward points on spends of ₹5,000 or more within 60 days of card issuance","NILL","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef’s table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","Complimentary airport lounge access every quarter","24x7 concierge for travel bookings","Free Personal Accidental Death Cover (Air: ₹50 Lakhs, Non-Air: ₹10 Lakhs)","Zero liability on lost card if reported immediately","NILL","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Indian Resident, Salaried/Self-employed with an income of >₹7.2 Lakhs p.a., Age: 21 to 65 years (Primary Cardholder)","All dues must be paid on time; rewards program subject to change."
"Bank of Baroda","HPCL ENERGIE BOBCARD","Fuel","Fuel","Up to 5% Savings on fuel purchases at HPCL retail outlets and LPG purchases.","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fvffa1uuv%2Fhpcl-creditcard-shadow-19-feb24.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/hpcl-energie","https://www.bobcard.co.in/card-form/hpcl-energie?utm=cbhp","₹499","₹499","Renewal fee waived on annual spends of ₹50,000","NILL","41.88%","NILL","NILL","NILL","NILL","NILL","2.5% of the amount or ₹500, whichever is higher","Varies based on outstanding balance","2.5% or ₹500, whichever is higher","3.5%","NILL","NILL","NILL","NILL","1% fuel surcharge waiver on transactions between ₹400-₹5000","NILL","Earn 24 Reward Points for every ₹150 spent on fuel purchases at HPCL.","NILL","Annual fee waived on spending ₹50,000 in a year","Yes, on transactions above ₹2,500","24 Reward Points per ₹150 spent on fuel, 10 Reward Points per ₹150 on groceries, 2 Reward Points per ₹150 on other spends","500 joining bonus reward points on spending ₹5,000 within 60 days of card issuance.","Complimentary domestic lounge access, 25% off on movie tickets via District app, fuel surcharge waiver.","NILL","500 bonus reward points on spending ₹5,000 or more within 60 days of card issuance.","500","2,000 reward points for reaching spending milestones.","NILL","Up to 5% savings on fuel purchases at HPCL.","25% off on movie tickets via District app.","NILL","Complimentary domestic lounge access.","25% off on movie tickets via District app.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary domestic lounge access (1 visit per quarter).","NILL","NILL","Zero liability on lost card if reported promptly.","NILL","NILL","Yes, accepted worldwide.","The HPCL ENERGIE BOBCARD is designed for fuel purchases, offering significant savings and rewards on fuel transactions, along with additional benefits for everyday spending.","Age: 21 to 65 years, Minimum income: ₹3.6 lakh p.a. for salaried, ₹4.8 lakh for self-employed.","Annual fee waiver applicable only to non-delinquent credit cardholders."
"Bank of Baroda","Pragati Credit Card","Retail","Shopping","5X rewards on departmental stores and movies, 1% fuel surcharge waiver, complimentary personal accidental death cover","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fatdadhp3%2Fpragati-card-shadow-19-feb24.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/bupb-bggb-brkgb-pragati","https://www.bobcard.co.in/card-form/bupb-bggb-brkgb-pragati","0","250","Spend ₹25,000 annually to waive annual fee","NILL","3.6% per month","NILL","NILL","NILL","NILL","NILL","2.5% of transaction amount, min ₹50","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","5X rewards on ₹100 spent on departmental stores and movies, 1 reward point on other spends","NILL","Annual fee waived on spending ₹25,000","Yes, on spends above ₹2,500","5 points for every ₹100 spent on select categories, 1 point for others","Complimentary personal accidental death cover","Contactless payments, fuel surcharge waiver, multiple redemption options","NILL","Earn 500 Reward Points on spends of ₹5,000 within 60 days of card issuance","500","NILL","NILL","1% fuel surcharge waiver","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary personal accidental death cover worth ₹15 Lakhs for air travel and ₹5 Lakhs for non-air travel","Zero liability on lost card if reported immediately","NILL","NILL","Yes, accepted worldwide","The Pragati Credit Card offers a rewarding experience with 5X rewards on select categories, a fuel surcharge waiver, and complimentary insurance, making it ideal for customers of regional rural banks.","Must be a customer of Baroda Gujarat Gramin Bank, Baroda Rajasthan Kshetriya Gramin Bank, or Baroda UP Bank, aged 18 years and above.","Refer to the official website for detailed terms and conditions."
"Bank of Baroda","BOBCARD CORPORATE","Business","Corporate","Up to 50-days interest-free credit period, personalized card look with corporate name, categorized employee spending statements.","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fn4yfxhqw%2Fcorporate-card-19-feb24.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/corporate","https://www.bobcard.co.in/credit-card-types/corporate?utm_source=BoBWebsite&utm_medium=organic&utm_campaign=Ongoing&utm_content=CorporateCreditCard","Zero Joining Fee","₹1000","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% Fuel Surcharge waived off on all fuel transactions between ₹400-₹5000 (Maximum waiver of ₹250 per statement)","NILL","Earn 1 Reward Point for every ₹100 spent on other categories, redeemable for cashback @1 reward point = ₹0.25","NILL","Annual fee reversed if spends > ₹1 lakh/year","NILL","Earn 1 Reward Point for every ₹100 spent","Free movie tickets, shopping vouchers","24*7 IVR support, same-day billing, personalized E-statements","NILL","Earn 500 Reward Points on spent of ₹5,000 within 60 days of card issuance","NILL","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef’s table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","8 complimentary domestic airport lounge access annually (2 visits per quarter)","24x7 concierge for travel bookings","Air accident cover, travel insurance","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Indian Resident, Age: 21 to 65 years (Primary Cardholder), Above 18 years (Add-on Cardholder)","All dues must be paid on time; rewards program subject to change."
"Nainital Bank","BOBCARD NAINITAL BANK RENAISSANCE","Retail","Shopping","Earn 500 Reward Points on spent of ₹5,000 within 60 days of card issuance.","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fooeawhht%2Fnainitalbank_cc-shadow-19-feb24.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/nainital-bank-renaissance","https://www.bobcard.co.in/card-form/nainital-bank-renaissance?utm=bnkn","Zero Joining Fee","₹250","Spend ₹25,000 annually for reversal of annual fees","Free add-on card for up to three family members","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India on transactions between ₹400 and ₹5,000 (Max. ₹250 per statement cycle)","NILL","5X Reward Points for every ₹100 spent on Departmental Stores & Movies, 1 Reward Point for every ₹100 spent on others","1 reward point = ₹0.25","NILL","Yes, on spends above ₹2,500","5 Reward Points for every ₹100 spent on Departmental Stores & Movies","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","Earn 500 Reward Points on spent of ₹5,000 within 60 days of card issuance.","NILL","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef’s table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","8 free domestic lounge visits per year","24x7 concierge for travel bookings","Personal Accidental Death Cover: Air: ₹15 Lakhs and Non-Air: ₹5 Lakhs","Zero liability on the lost card","NILL","NILL","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Indian Resident, Age: 21 to 65 years (Primary Cardholder). Above 18 years (Add-on Cardholder)","All dues must be paid on time; rewards program subject to change."
"Bank of Baroda","BOBCARD EMPOWER","Business","NILL","Unlimited cashback on spends with 1 reward point for every ₹100 spent.","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fwnvhzmi1%2Fempower-card.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/empower","https://www.bobcard.co.in/card-form/EMPOWER","Zero Joining Fee","NILL","Spend ₹50,000 in every anniversary year to get annual fee reversal","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% Fuel Surcharge waived off on all fuel transactions between ₹400-₹5000. (Maximum waiver of ₹250 per statement)","NILL","Earn 1 Reward Point for every ₹100 spent on all other MCCs.","Yes, unlimited cashback on spends.","NILL","Yes, convert purchases of > ₹2,500/- on your card into easy EMIs of 6 to 48 months.","1 reward point = ₹0.25","Free movie tickets, shopping vouchers.","Contactless payments, lounge access.","NILL","Earn 500 Reward Points on spent of ₹5,000 within 60 days of card issuance.","NILL","Free flight ticket on spends above ₹5 lakh/year.","500 points on birthday month.","1% fuel surcharge waiver.","20% off at select restaurants.","Chef’s table invitations.","Free travel insurance, airport transfers.","Buy 1 Get 1 free ticket monthly.","3 months free Netflix.","Specific cashback promotions for eligible transactions.","₹500 Myntra voucher on spends > ₹50,000.","Extra points on app transactions.","10% off at partner hotels.","Free gym membership.","2% cashback on Amazon/Flipkart.","8 free domestic lounge visits per year.","24x7 concierge for travel bookings.","NILL","Zero liability if reported within 24 hours.","NILL","chip & PIN, contactless, 2FA.","Yes, accepted worldwide.","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Indian Resident, Age: 21 to 65 years (Primary Cardholder), BOB/Non BOB Self-employed customers are eligible.","All dues must be paid on time; rewards program subject to change."
"Bank of Baroda","Snapdeal BOBCARD","Retail","Shopping","5% Unlimited Cashback on Snapdeal purchases","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fjyvpjc5l%2Fsnapdeal_front.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/snapdeal-bobcard","https://www.bobcard.co.in/apply-for-credit-card","₹249","₹249","NILL","NILL","43.2%","NILL","NILL","NILL","NILL","NILL","2.5% or ₹500 (Whichever is Higher)","NILL","NILL","3.5%","NILL","NILL","NILL","NILL","1% fuel surcharge waiver on all fuel transactions between ₹400 and ₹5,000","NILL","20 Reward Points on every ₹100 spent on Snapdeal, 10 Reward Points on every ₹100 spent on groceries and departmental stores, 4 Reward Points on every ₹100 spent elsewhere","5% cashback on Snapdeal purchases","NILL","Yes, on spends above ₹2,500","20 Reward Points on every ₹100 spent on Snapdeal, 10 Reward Points on every ₹100 spent on groceries and departmental stores, 4 Reward Points on every ₹100 spent elsewhere","500 Bonus Reward Points on spends of ₹5,000 or more within 30 days of card issuance","1% fuel surcharge waiver, 3 free add-on cards for family members above 18 years","NILL","Snapdeal vouchers worth up to ₹500 on card usage within the first 30 days of issuance","500 Bonus Reward Points on spends of ₹5,000 or more within 30 days of card issuance","NILL","NILL","1% fuel surcharge waiver on all fuel transactions between ₹400 and ₹5,000","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","5% cashback on Snapdeal purchases","NILL","NILL","NILL","Zero liability protection against unauthorized transactions if reported in a timely manner","NILL","NILL","NILL","The Snapdeal BOBCARD Credit Card offers 5% unlimited cashback on Snapdeal purchases, along with various rewards on other spending categories, making it ideal for frequent shoppers.","Age: 21 to 65 years for primary cardholders; above 18 years for add-on cardholders. Minimum income: ₹3.6 lakhs per annum for salaried individuals; ₹4.8 lakhs per annum for self-employed individuals.","NILL"
"Bank of Baroda","BOBCARD One Co-branded Credit Card","Retail","Shopping","Lifetime Free. No Joining Fee & Annual Fees","https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fcufd2m2h%2Fonecard-for-bfsl_without-logo-01.png&w=1920&q=75","https://www.bobcard.co.in/credit-card-types/onecard","https://apply.getonecard.app/","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% Forex","Zero redemption fee or minimum threshold to redeem rewards","NILL","NILL","NILL","NILL","NILL","Earn 5X rewards on your top 2 spend categories","NILL","NILL","Yes, convert your spends to EMI inside the OneCard app","5X rewards on every spend","Instant redemption of rewards through OneCard App","Contactless Safe Payments, Interest free credit facility, Smart EMI option","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Free travel insurance, airport transfers","NILL","NILL","NILL","NILL","Extra points on app transactions","NILL","NILL","2% cashback on Amazon/Flipkart","NILL","NILL","NILL","Zero liability if reported within 24 hours","NILL","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","A premium metal-based credit card designed for you in partnership with M/s One Consumer Services Private Limited with an irresistible blend of convenience and security.","Indian Resident, Age: 21 to 65 years (Primary Cardholder)","All dues must be paid on time; rewards program subject to change."
