"bank_name","card_name","card_type","card_category","card_usp","card_image_url","know_more_link","apply_now_link","joining_fee","annual_fee","annual_fee_waiver","add_on_card_fee","interest_rate_pa","card_replacement_fee","cash_payment_fee","duplicate_statement_fee","outstation_cheque_fee","hostlisting_charges","cash_withdrawal_fee","overdue_penalty_fee","over_limit_penalty","foreign_currency_transaction_fee","reward_point_redemption_fee","dynamic_currency_conversion_markup","education_transaction_fee","wallet_load_transaction_fee","fuel_transaction_fee","utility_transaction_fee","rewards_program","cashback_with_every_transaction","spend_based_reversal","flexipay","reward_points","rewards","features","returns_rate","welcome_benefit","welcome_points","milestone_benefit","bonus_points","fuel_benefits","dining_benefits","culinary_treats","travel_benefits","movie_benefits","OTT_benefits","cashback_offers","voucher_offers","mobile_app_benefits","stay_benefits","lifestyle_benefits","e_commerce","lounge_access","concierge_service","insurance","fraud_protection","health_and_wellness_benefits","security_features","international_use","full_card_description","eligibility_criteria","terms_and_conditions"
"Federal Bank","Visa Imperio Credit Card","Lifestyle","Travel, Entertainment, Lifestyle","3x rewards on health & groceries, exclusive lounge access, fuel savings, and exciting vouchers!","https://www.federalbank.co.in/documents/10180/85519258/Visa+Imperio.jpg/b9feadba-d542-9955-4626-ebb48b592f25?t=1644865488452","https://www.federalbank.co.in/visa-imperio-credit-card","https://www.federalbank.co.in/visa-imperio-credit-card","0","1500","Spend ₹1.5 lakh in a year to waive off annual fee","100","8.28%","200","100","NILL","NILL","NILL","2.5% or ₹500, whichever is higher","Varies based on amount due","2.5% of overlimit amount, minimum ₹500","3.5%","99","NILL","NILL","NILL","1% waiver on fuel surcharge","NILL","3-2-1 rewards structure","NILL","NILL","NILL","3x on health care and grocery, 2x on utilities, 1x on others","Complimentary vouchers, lounge access, movie offers","No joining fee, fuel surcharge waiver, reward points","NILL","Amazon Pay e-voucher worth ₹400 on spending ₹5,000 in first 30 days","NILL","Big Basket vouchers on quarterly spends of ₹50,000","NILL","1% fuel surcharge waiver","15% discount at partner hotels","NILL","2 complimentary domestic lounge access per quarter","BOGO on INOX movie tickets once a quarter","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 complimentary domestic lounge access per quarter","NILL","NILL","Zero liability if reported within 3 days","NILL","NILL","Yes, accepted worldwide","The Federal Bank Visa Imperio Credit Card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Minimum age 21 years, minimum monthly income ₹30,000, Indian residents or NRIs","All dues must be paid on time; rewards program subject to change."
"Federal Bank","Visa Signet Credit Card","Retail","Lifestyle","Lowest dynamic Annual Percentage Rate (APR) starting from 0.69% (8.28% pa) to 3.75% (45% pa) depending on your Banking relationship with us.","https://www.federalbank.co.in/documents/10180/0/Visa+Signet+%281%29.jpg/4d077628-f088-e539-4391-404ad95c5103?t=1644860272077","https://www.federalbank.co.in/visa-signet-credit-card","https://creditcards.federalbank.co.in/#/entry","NILL","NILL","NILL","₹100 + GST per card","0.69% - 3.75%","₹200 + applicable taxes","NILL","NILL","NILL","NILL","2.5% of amount withdrawn or ₹500 whichever is higher","Late payment fee varies based on total amount due","NILL","3.5%","Min of ₹99","NILL","NILL","NILL","NILL","NILL","Get 3x rewards on spends for Electronics & Apparel categories, 2x rewards on Entertainment category and 1x rewards for other categories.","Ongoing attractive cashback offers across various brands through Visa Deals & Offers","NILL","NILL","NILL","Amazon Pay e-Voucher worth ₹500 on minimum spend of ₹3,000 in first 30 days.","Complimentary lounge access - Once per quarter at Domestic airports, BOGO Offers on INOX movie tickets, complimentary Swiggy vouchers on quarterly spend of ₹20,000.","NILL","Amazon Pay e-Voucher worth ₹500 on minimum spend of ₹3,000 in first 30 days.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Buy One Get One Free on INOX movie tickets, once a quarter.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary lounge access - Once per quarter at Domestic airports","NILL","NILL","NILL","NILL","NILL","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Minimum 18 years of age for Secured Credit Card and minimum 21 years for Unsecured Credit Card.","All dues must be paid on time; rewards program subject to change."
"Federal Bank","Fed StarBiz Visa Credit Card","Business","NILL","Linked to Overdraft (OD) or Cash Credit (CC) account with daily usage limits up to ₹3 lakhs.","https://www.federalbank.co.in/documents/10180/85587089/225x118.jpg/1d10f11d-30a9-c667-8085-5255299a9617?t=1743581926785","https://www.federalbank.co.in/fed-starbiz-credit-card-visa","https://www.federalbank.co.in/fed-starbiz-credit-card-visa","₹275 + GST","₹275 + GST","NILL","NILL","NILL","₹225 + GST","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Supports POS, Ecom and Tap and Pay Transactions; Enhanced Security with tokenization and encryption; Wide Acceptance at millions of merchants across India; No Separate Statements as all transactions reflect in the underlying OD/CC account.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Yes, accepted wherever RuPay & Visa are recognized.","The Fed StarBiz Credit Card is designed for business owners, linking directly to your overdraft or cash credit account, offering a daily spending limit of ₹3 lakhs and seamless integration with business finances.","Federal Bank OD account holder with limits up to ₹50 lakhs; Individuals engaged in activities under MSMED Act 2006; Constitution: Individuals & sole proprietors only.","All dues must be paid on time; rewards program subject to change."
"Federal Bank","Mastercard Celesta","Retail","Travel, Dining, Shopping","3-2-1 rewards structure: 3x on Travel and International, 2x on Dining, 1x on others; Complimentary Lounge Access; Amazon Pay e-Voucher worth ₹600 on minimum spend of ₹10,000 in first 30 days.","https://www.federalbank.co.in/documents/10180/85519258/1637x2600pxl+%281%29.jpg/2232329c-1814-ae42-90be-3a469fe4461b?t=1644865488375","https://www.federalbank.co.in/celesta-credit-card","https://www.bankbazaar.com/credit-card.html?variant=slide&WT.mc_id=CROSS_SELL_IL_CCBUTTON_90427&utm_source=bb&utm_medium=seo&utm_campaign=CROSS_SELL_IL_CCBUTTON_90427","NILL","NILL","NILL","NILL","0.68% - 3.75%","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2%","NILL","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","3-2-1 rewards structure","Ongoing attractive cashback offers","NILL","NILL","3x on Travel, 2x on Dining, 1x on others","Free movie tickets, shopping vouchers","Complimentary Lounge Access, BOGO movie ticket offer, cashback offers","NILL","Amazon Pay e-Voucher worth ₹600 on minimum spend of ₹10,000 in first 30 days","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","NILL","Complimentary Lounge Access","BOGO movie ticket offer","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 International Lounges per year and 4 Domestic Lounges per quarter","NILL","NILL","NILL","NILL","NILL","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","[Click here to view](https://www.federalbank.co.in/credit-cards-terms-and-conditions)"
"Federal Bank","Mastercard Imperio","Retail","Lifestyle","Complimentary Lounge Access at Airports- 2 Domestic Lounges per quarter","https://www.federalbank.co.in/documents/10180/85519258/Credit-Card-master-card-1.jpg/c1e92666-d699-fb27-4d90-18373af5557b?t=1644865488283","https://www.federalbank.co.in/imperio-credit-card","https://www.bankbazaar.com/credit-card.html?variant=slide&WT.mc_id=CROSS_SELL_IL_CCBUTTON_90428&utm_source=bb&utm_medium=seo&utm_campaign=CROSS_SELL_IL_CCBUTTON_90428","NILL","NILL","NILL","NILL","0.68% - 3.75%","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India","NILL","3-2-1 rewards structure - Get 3x rewards on Health Care, Grocery; 2x on Utility; 1x on others","Ongoing attractive cashback offers","NILL","NILL","NILL","Amazon Pay e-Voucher worth ₹400 on minimum spend of Rs. 5,000 in first 30 days","Complimentary Lounge Access, BOGO movie ticket offer, Complimentary Big Basket vouchers","NILL","Amazon Pay e-Voucher worth ₹400 on minimum spend of Rs. 5,000 in first 30 days","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India","NILL","NILL","NILL","BOGO (Buy One Get One) movie ticket offer (up to Rs.100 off), once a quarter","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 Domestic Lounges per quarter","NILL","NILL","NILL","NILL","NILL","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"Federal Bank","Mastercard Signet","Retail","Shopping","Lifetime Free Credit Cards with no membership fee & no joining fee","https://www.federalbank.co.in/documents/10180/85519258/Credit-Card-master-card.jpg/3ff66710-0ccd-c20c-ea54-1beeb4a8db0b?t=1644865487664","https://www.federalbank.co.in/signet-credit-card","https://signetfcu.com/credit-card","NILL","NILL","NILL","NILL","8.28% p.a.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","3-2-1 rewards structure: 3x rewards on Electronics & Apparel, 2x on Entertainment, 1x on others","Ongoing attractive cashback offers across various brands","NILL","NILL","NILL","Free movie tickets, shopping vouchers, complimentary lounge access","Complimentary Lounge Access at Airports, BOGO Offers on INOX movie tickets, Complimentary Swiggy vouchers","NILL","Amazon Pay e voucher worth Rs. 200 on minimum spends of Rs. 3000 in first 30 days","NILL","NILL","NILL","1% fuel surcharge waiver","20% off at select restaurants","Chef’s table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","Specific cashback promotions for eligible transactions","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","1 Domestic Lounge per quarter","NILL","NILL","Zero liability if reported within 24 hours","NILL","NILL","Yes, accepted worldwide","This card offers premium shopping benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent shoppers.","NILL","All dues must be paid on time; rewards program subject to change."
"Federal Bank","Rupay Signet Credit Card","Retail","Lifestyle","Lifetime Free Credit Card with Zero Annual Membership Fee and Zero Joining Fee","https://www.federalbank.co.in/documents/10180/62228488/Signet+RuPay+Credit+Card.jpg/14cb1d77-f7f9-c257-258c-9bf42a5466fc?t=1648027413919","https://www.federalbank.co.in/rupay-signet-credit-card","https://creditcards.federalbank.co.in/#/entry","NILL","NILL","NILL","₹100 + GST per card","8.28% p.a.","₹200 + applicable taxes","NILL","NILL","NILL","NILL","2.5% of amount withdrawn or ₹500 whichever is higher","Late Payment Fee varies based on Total Amount Due","NILL","3.5%","Min of ₹99","NILL","NILL","NILL","NILL","NILL","3-2-1 rewards structure","1% cashback on all spends","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹2,500","3x rewards on Electronics & Apparel, 2x on Entertainment, 1x on others","Amazon Pay e-Voucher worth ₹200 on minimum spend of ₹3,000 in first 30 days","Complimentary lounge access, Personal Accident insurance cover of ₹2 Lakhs, 24x7 Concierge Services","NILL","Amazon Pay e-Voucher worth ₹200","NILL","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef’s table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","Complimentary lounge access - Once per quarter at Domestic airports","24x7 concierge for travel bookings","Personal Accident insurance cover of ₹2 Lakhs","Zero liability if reported within 24 hours","NILL","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Minimum 18 years of age, good credit history, Indian resident or NRI","All dues must be paid on time; rewards program subject to change."
"Federal Bank","Visa Imperio Credit Card","Lifestyle","Travel, Entertainment, Shopping","3x rewards on health care and grocery spends, complimentary lounge access, and exclusive vouchers","https://www.federalbank.co.in/documents/10180/85519258/Visa+Imperio.jpg/b9feadba-d542-9955-4626-ebb48b592f25?t=1644865488452","https://www.federalbank.co.in/visa-imperio-credit-card","https://creditcards.federalbank.co.in/#/entry","0","1500","Annual fee waived on spending ₹1.5 lakh in a year","100","8.28%","200","100","NILL","NILL","NILL","2.5% of amount withdrawn or ₹500, whichever is higher","Late payment fees vary based on outstanding amount","2.5% of overlimit amount, subject to a minimum of ₹500","3.5%","99","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","3-2-1 rewards structure","NILL","Annual fee waived on spending ₹1.5 lakh in a year","NILL","3x on health care and grocery, 2x on utilities, 1x on other categories","Complimentary vouchers, lounge access, and movie ticket offers","Complimentary lounge access, fuel surcharge waiver, and reward points","NILL","Amazon Pay e-voucher worth ₹400 on spending ₹5,000 in first 30 days","NILL","Big Basket vouchers on quarterly spends of ₹50,000","NILL","1% fuel surcharge waiver","15% discount at partner hotels","NILL","2 complimentary domestic lounge accesses per quarter","Buy 1 Get 1 Free on INOX movie tickets once a quarter","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 complimentary domestic lounge accesses per quarter","NILL","NILL","Zero liability on unauthorized transactions","NILL","NILL","Yes, accepted worldwide","The Federal Bank Visa Imperio Credit Card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Minimum age of 21 years, monthly income of ₹30,000, Indian resident or NRI","All dues must be paid on time; rewards program subject to change."
"Federal Bank","Visa Signet Credit Card","Retail","Shopping","Lowest dynamic Annual Percentage Rate (APR) starting from 0.69% (8.28% pa) to 3.75% (45% pa) depending on your Banking relationship with us.","https://www.federalbank.co.in/documents/10180/0/Visa+Signet+%281%29.jpg/4d077628-f088-e539-4391-404ad95c5103?t=1644860272077","https://www.federalbank.co.in/visa-signet-credit-card","https://creditcards.federalbank.co.in/#/entry","NILL","NILL","NILL","₹100 + GST per card","0.69% - 3.75%","₹200 + applicable taxes","NILL","NILL","NILL","NILL","2.5% of amount withdrawn or ₹500 whichever is higher","Late payment fee applicable if Minimum Amount Due is not paid by the payment due date","NILL","3.5%","Min of ₹99","NILL","NILL","NILL","NILL","NILL","Get 3x rewards on spends for Electronics & Apparel categories, 2x rewards on Entertainment category and 1x rewards for other categories.","Ongoing attractive cashback offers, across various brands through Visa Deals & Offers","NILL","NILL","NILL","Amazon Pay e-Voucher worth ₹500 on minimum spend of ₹3,000 in first 30 days.","Complimentary lounge access - Once per quarter at Domestic airports, BOGO Offers on INOX movie tickets, once a quarter, Complimentary Swiggy vouchers on quarterly spend of ₹20,000.","NILL","Amazon Pay e-Voucher worth ₹500 on minimum spend of ₹3,000 in first 30 days.","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India.","20% off at select restaurants.","NILL","Free travel insurance, airport transfers.","Buy 1 Get 1 free ticket monthly.","3 months free Netflix.","Specific cashback promotions for eligible transactions.","₹500 Myntra voucher on spends > ₹50,000.","Extra points on app transactions.","10% off at partner hotels.","Free gym membership.","2% cashback on Amazon/Flipkart.","Complimentary lounge access - Once per quarter at Domestic airports.","NILL","NILL","Zero liability if reported within 24 hours.","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide.","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Minimum 18 years of age to apply for a Secured Federal Credit Card. Minimum 21 years of age to apply for a Unsecured Federal Credit Card.","All dues must be paid on time; rewards program subject to change."
"Federal Bank","Fed StarBiz Visa Credit Card","Business","NILL","Linked to Overdraft (OD) or Cash Credit (CC) account with limits up to ₹50 lakhs, providing seamless integration with business finances.","https://www.federalbank.co.in/documents/10180/85587089/225x118.jpg/1d10f11d-30a9-c667-8085-5255299a9617?t=1743581926785","https://www.federalbank.co.in/fed-starbiz-credit-card-visa","https://www.federalbank.co.in/fed-starbiz-credit-card-visa","₹275 + GST","₹275 + GST","NILL","NILL","NILL","₹225 + GST","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Supports POS, Ecom and Tap and Pay Transactions; Enhanced Security with tokenization and encryption; Daily Usage Limits up to ₹3 lakhs; No Separate Statements; Wide Acceptance at millions of merchants across India.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Yes, accepted wherever RuPay & Visa is recognized.","The Fed StarBiz Credit Card is designed for business owners, linking directly to your overdraft or cash credit account, facilitating seamless transactions and expense management.","Federal Bank OD account holder with limits up to ₹50 lakhs; Individuals engaged in activities under MSMED Act 2006; Constitution: Individuals & sole proprietors only.","All dues must be paid on time; rewards program subject to change."
