"bank_name","card_name","card_type","card_category","card_usp","card_image_url","know_more_link","apply_now_link","joining_fee","annual_fee","annual_fee_waiver","add_on_card_fee","interest_rate_pa","card_replacement_fee","cash_payment_fee","duplicate_statement_fee","outstation_cheque_fee","hostlisting_charges","cash_withdrawal_fee","overdue_penalty_fee","over_limit_penalty","foreign_currency_transaction_fee","reward_point_redemption_fee","dynamic_currency_conversion_markup","education_transaction_fee","wallet_load_transaction_fee","fuel_transaction_fee","utility_transaction_fee","rewards_program","cashback_with_every_transaction","spend_based_reversal","flexipay","reward_points","rewards","features","returns_rate","welcome_benefit","welcome_points","milestone_benefit","bonus_points","fuel_benefits","dining_benefits","culinary_treats","travel_benefits","movie_benefits","OTT_benefits","cashback_offers","voucher_offers","mobile_app_benefits","stay_benefits","lifestyle_benefits","e_commerce","lounge_access","concierge_service","insurance","fraud_protection","health_and_wellness_benefits","security_features","international_use","full_card_description","eligibility_criteria","terms_and_conditions"
"HDFC Bank","Tata Neu Plus HDFC Bank Credit Card","Credit Card","Shopping","Extraordinary Rewards. Ready for You.","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/b00fa06b-45ec-40cb-a158-5aa7d844d829/Personal/Pay/Cards/Credit%20Card/Credit%20Card%20Landing%20Page/Credit%20Cards/TATA%20Neu%20Plus%20HDFC%20Bank%20Credit%20Card/Tata-Neu-Plus-VISA-Rupay-card_Stack_264x167.png","https://www.hdfcbank.com/personal/pay/cards/credit-cards/tata-neu-plus-hdfc-bank-credit-card","https://applyonline.hdfcbank.com/cards/credit-cards.html?CHANNELSOURCE=TDCC&mc_id=website_organic_cc_cat_pg_tata_neu_plus&icid=website_organic_cc_cat_pg_tata_neu_plus","₹499/- + Applicable Taxes","NILL","Spend ₹1,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2% back as NeuCoins on Tata Neu and partner Tata Brands.","1% back as NeuCoins on Non-Tata Brand Spends and any Merchant EMI Spends","NILL","NILL","NILL","4 Complimentary Domestic Airport Lounge Access","Interest-Free Credit Period: Up to 50 days of interest-free period on your Tata Neu Plus HDFC Bank Credit Card from the date of purchase.","NILL","Get 499 NeuCoins on Tata Neu App (as reversal of 1st Year Membership Fees), applicable on 1st Transaction done within 30 days of card issuance.","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","4 Complimentary Domestic Lounge Access per calendar year (1 in a quarter).","NILL","NILL","Zero lost card liability: In the unfortunate event of losing your Tata Neu Plus HDFC Bank Credit Card, on reporting it immediately to our 24-hour call centre, you have zero liability on any fraudulent transactions made on your Credit Card.","NILL","NILL","NILL","This card offers extraordinary rewards with savings up to Rs. 35,000 per year, making it ideal for frequent shoppers.","NILL","NILL"
"HDFC Bank","Millennia Credit Card","CashBack","NILL","5% Cashback on Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber and Zomato","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/a6470e7a-ddb5-4512-a4a9-d628c97eb24e/Personal/Pay/Cards/Millennia%20Cards/Millennia%20Credit%20Card/Millennia-CC_new.png","https://www.hdfcbank.com/personal/pay/cards/millennia-cards/millennia-cc-new","https://applyonline.hdfcbank.com/cards/credit-cards.html?LGCode=MKTG&utm_content=MKTG&mc_id=website_organic_millenia_CC_Cat_pg_apply_online&icid=website_organic_millenia_CC_Cat_pg_apply_online","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% cashback on other spends","Spend ₹1 lakh or more in the preceding 12 months and get renewal membership fee waived off for next year.","HDFC Bank Millennia Credit Card comes with an option to convert your big spends into EMI after purchase.","NILL","NILL","5% Cashback on Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber and Zomato; 1% cashback on other spends; ₹1000 worth gift vouchers on spends of ₹1,00,000 and above in each calendar quarter; Zero lost card liability; Interest Free Credit Period; Revolving Credit; Exclusive Dining Privileges; Fuel Surcharge Waiver; Welcome / Renewal Benefit; Lounge Access; Smart EMI; Contactless Payment; Reward Point/CashBack Redemption & Validity; Renewal Offer.","NILL","Pay your Membership fee and get Reward Points equivalent to Fee Amount (Applicable only on payment of Membership fee)","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India (on minimum transaction of ₹400 & maximum transaction of ₹5,000. Maximum waiver of ₹250 per statement cycle)","Get 10% additional discount on Swiggy Dineout using coupon code HDFCCARDS.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","NILL"
"HDFC Bank","Millennia Credit Card","CashBack","Shopping","5% Cashback on Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber and Zomato","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/a6470e7a-ddb5-4512-a4a9-d628c97eb24e/Personal/Pay/Cards/Millennia%20Cards/Millennia%20Credit%20Card/Millennia-CC_new.png","https://hdfcbank.com/personal/pay/cards/millennia-cards/millennia-cc-new","https://applyonline.hdfcbank.com/cards/credit-cards.html?LGCode=MKTG&utm_content=MKTG&mc_id=website_organic_millenia_CC_prod_pg_sticky_footer_cta","NILL","NILL","Spend ₹1 lakh or more in the preceding 12 months and get renewal membership fee waived off for next year.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India (on minimum transaction of ₹400 & maximum transaction of ₹5,000. Maximum waiver of ₹250 per statement cycle)","NILL","Earn 5% Cashback on select merchants and 1% on others.","Yes","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹2,500","4 points per ₹150 spent","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","Pay your Membership fee and get Reward Points equivalent to Fee Amount","NILL","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef's table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","Specific cashback promotions for eligible transactions","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","8 free domestic lounge visits per year","24x7 concierge for travel bookings","air accident cover, travel insurance","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"HDFC Bank","6E Rewards XL - IndiGo HDFC Bank Credit Card","Retail","Travel","Earn up to 5% 6E Rewards on IndiGo spends and redeem for free flights.","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/339945e5-b3f9-4b3a-bbe5-46edc14ae107/Personal/Pay/Cards/Credit%20Card/Credit%20Card%20Landing%20Page/Credit%20Cards/Co-Brand/6E%20Rewards%20XL%20IndiGo%20HDFC%20Bank%20Credit%20Card/6E-Rewards-XL.png","https://www.hdfcbank.com/personal/pay/cards/credit-cards/6e-rewards-xl-indigo-hdfc-bank-credit-card","https://applyonline.hdfcbank.com/cards/credit-cards.html","₹1500","₹1500","NILL","NILL","45%","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2.5%","NILL","NILL","NILL","NILL","NILL","NILL","Earn 5 6E Rewards per ₹100 on IndiGo spends, 3 6E Rewards on groceries, dining, and entertainment, and 2 6E Rewards on all other spends.","NILL","NILL","Yes","1 6E Reward = ₹1","Complimentary flight ticket voucher worth ₹3,000 and 6E Prime add-on worth ₹1,099.","8 complimentary domestic lounge accesses per year, interest-free credit period of up to 50 days, contactless payments.","NILL","Complimentary flight ticket voucher worth ₹3,000 and 6E Prime add-on worth ₹1,099.","NILL","NILL","NILL","1% fuel surcharge waiver (up to ₹500 per month) on fuel transactions above ₹400.","NILL","NILL","8 complimentary domestic lounge accesses per year.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","8 complimentary domestic lounge accesses per year (2 per quarter).","NILL","NILL","Zero liability on lost card if reported immediately.","NILL","Chip & PIN, contactless payments.","Yes, accepted worldwide.","The 6E Rewards XL IndiGo HDFC Bank Credit Card is designed for frequent travelers with IndiGo, offering high rewards on travel and everyday spending, along with complimentary lounge access and a welcome flight voucher.","Age: 21 to 65 years; Income: ₹1.2 Lakh for salaried individuals and ITR > ₹14.4 LPA for self-employed individuals.","All dues must be paid on time; rewards program subject to change."
"HDFC Bank","6E Rewards - IndiGo HDFC Bank Credit Card","Retail","Travel","Converts all spends into FREE flight tickets","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/37d8dd59-ad8a-4bef-9ebf-f8e8a8800388/Personal/Pay/Cards/Credit%20Card/Credit%20Card%20Landing%20Page/Credit%20Cards/Co-Brand/Rewards%20IndiGo%20HDFC%20Bank%20Credit%20Card/6E-Rewards.png","https://www.hdfcbank.com/personal/pay/cards/credit-cards/6e-rewards-indigo-hdfc-bank-credit-card","https://applyonline.hdfcbank.com/cards/credit-cards.html","500","700","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","3.5%","NILL","NILL","NILL","NILL","NILL","NILL","Earn 2.5 6E Rewards per ₹100 spent on IndiGo, 2 6E Rewards on Grocery, Dining & Entertainment, 1 6E Reward on all other spends","NILL","NILL","Yes","6E Rewards","Free flight tickets, complimentary 6E Prime add-on","Contactless payments, interest-free credit period up to 50 days","NILL","1 Complimentary flight ticket voucher worth INR 1,500","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Zero liability on fraudulent transactions if reported immediately","NILL","NILL","Yes, accepted worldwide","This card offers premium travel benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"HDFC Bank","Diners Club Rewardz Credit Card","Retail","Travel","Earn as you travel, shop, or eat","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/db147deb-13a3-4402-a734-05ad846b7e1c/Personal/Pay/Cards/Credit%20Card/Credit%20Card%20Landing%20Page/Credit%20Cards/PREMIUM/Diners%20Club%20Rewardz/diners_club_rewards_banner1.png","https://www.hdfcbank.com/personal/pay/cards/credit-cards/diners-club-rewardz","https://applyonline.hdfcbank.com/cards/credit-cards.html?utm_content=MKTG&mc_id=website_organic_dc&icid=website_organic_dc#nbb","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 3 reward points for every ₹ 150 you spend","Earn upto 5% cashback for spends via SmartBuy","NILL","NILL","3 points per ₹150 spent","Redeem points for exclusive gifts from the rewards catalogue","24x7 concierge service for travel needs","NILL","1000 points","NILL","NILL","NILL","NILL","NILL","NILL","Redeem Reward points for booking Air Tickets / Hotels across 150+ Airlines","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","24x7 concierge service for travel needs","NILL","NILL","NILL","NILL","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"HDFC Bank","INFINIA Metal Edition","Retail","Lifestyle","Unlimited airport lounge access across the globe for Primary and Add-on member","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/fc1b45a1-f644-41cd-9887-9b2243270ffb/Personal/Pay/Cards/Credit%20Card/Credit%20Card%20Landing%20Page/Credit%20Cards/Super%20Premium/Infinia/infinia-metallic-new-product.png","https://www.hdfcbank.com/personal/pay/cards/credit-cards/infinia-credit-card","https://cardinsider.com/go/hdfcbank","NILL","NILL","Spend 10 lakhs or more in the preceding 12 months and get renewal membership fee waived off for next year.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Lowest markup fee of 2% on all foreign currency transactions.","NILL","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India on transactions between Rs.400 and Rs.1,00,000","NILL","Earn 5 Reward Points for every ₹ 150 spent","NILL","NILL","NILL","5 Reward Points on every Rs.150 retail spends including Insurance, Utilities and Education​","Complimentary Club Marriott membership for first year, Unlimited Complimentary golf games at leading courses across India","Metallic Card, Unlimited airport lounge access, Global Personal Concierge -24 X 7","NILL","Complimentary Club Marriott membership for a year that offers up to 20% discounts for Dining and Stay across Asia – Pacific region.","12,500 reward points upon fee realisation and card activation","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef's table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","Unlimited complimentary airport lounge access in India for primary and add-on cardholders","Global Personal Concierge – 24 X 7","Accidental Air Death cover worth Rs. 3 Crore, Emergency overseas hospitalization up to Rs. 50 lakhs","Zero liability if reported within 24 hours","NILL","NILL","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"HDFC Bank","Shoppers Stop HDFC Bank Credit Card","Retail","Shopping","Earn 3% Reward points on every Shoppers Stop spends and 1% on Non-Shoppers Stop spends.","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/a1b56b3e-d45f-4ed9-b8b6-03605fc48e3d/Personal/Pay/Cards/Credit%20Card/Credit%20Card%20Landing%20Page/Credit%20Cards/Shoppers%20Stop%20HDFC%20Bank%20Credit%20Card/SS-Blue.png","https://www.hdfcbank.com/personal/pay/cards/credit-cards/shoppers-stop-hdfc-bank-credit-card","https://applyonline.hdfcbank.com/cards/credit-cards.html?CHANNELSOURCE=FCBH&dedupe=N&mc_id=website_organic_shoppers_stop_prod_pg_sticky_footer&icid=website_organic_shoppers_stop_prod_pg_sticky_footer","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 3% Reward points on every Shoppers Stop spends (Monthly capping of Rs 500) and 1% on every Non-Shoppers Stop spends (Monthly capping of Rs 1000).","NILL","NILL","NILL","NILL","NILL","Contactless payments, Smart EMI, Fuel Surcharge Waiver, Weekend offer, CC on UPI.","NILL","Rs 500 worth of Shoppers Stop voucher redeemable on any transaction at Shoppers Stop store.","NILL","NILL","NILL","1% fuel surcharge waiver of upto ₹250 per statement cycle.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","This card offers rewards on shopping at Shoppers Stop and other retail outlets, along with various benefits like fuel surcharge waiver and welcome vouchers.","NILL","All dues must be paid on time; rewards program subject to change."
"HDFC Bank","Tata Neu Infinity HDFC Bank Credit Card","Credit Card","Rewards","Extraordinary Rewards with savings of more than a month of your spends","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/db345eb5-f056-4963-9d7e-e7b235ba0003/Personal/Pay/Cards/Credit%20Card/Credit%20Card%20Landing%20Page/Credit%20Cards/TATA%20Neu%20Infinity%20HDFC%20Bank%20Credit%20Card/Tata-Neu-Infinity_VISA-Rupay_Card_Stack_264x167.png","https://www.hdfcbank.com/personal/pay/cards/credit-cards/tata-neu-infinity-hdfc-bank-credit-card","https://apply.hdfcbank.com/vivid/creditcard_new?CHANNELSOURCE=HDTA","₹1,499/- + Applicable Taxes","₹1,499/- + Applicable Taxes","Spend ₹3,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2% on all your foreign currency spends","NILL","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India (on minimum transaction of ₹400 & maximum transaction of ₹5,000. Maximum waiver of ₹500 per statement cycle)","NILL","Earn 5% back as NeuCoins on Non-EMI Spends on Tata Neu and partner Tata Brands.","NILL","NILL","NILL","NILL","NILL","Contactless payments, lounge access, 1% fuel surcharge waiver, enabled for UPI payments.","NILL","Get 1,499 NeuCoins on Tata Neu App (as reversal of 1st Year Membership Fees), applicable on 1st Transaction done within 30 days of card issuance.","NILL","NILL","NILL","1% fuel surcharge waiver at all fuel stations across India.","NILL","NILL","Complimentary Airport Lounge Access (8 domestic airport lounge access & 4 international airport lounge access per annum)","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","8 Complimentary Domestic Lounge Access per calendar year (2 in a quarter).","NILL","Accidental air death cover worth ₹1 Crore, Emergency overseas hospitalization: up to ₹15 lakhs, Lost Card Liability Cover: Up to ₹9 lakhs","Zero lost card liability: On reporting the loss immediately, you have zero liability on any fraudulent transactions made on your Credit Card.","NILL","NILL","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","For Salaried Indian national: Age: Min 21 years & Max 60 Years, Net Monthly Income > Rs 1 Lakh. For Self Employed Indian national: Age: Min 21 years & Max 65 Years, ITR > Rs 12 Lakhs per annum.","All dues must be paid on time; rewards program subject to change."
"HDFC Bank","Diners Club Black","Premium","Travel, Dining, Lifestyle","Unlimited airport lounge access worldwide, complimentary memberships, and high reward points on spends.","https://www.hdfcbank.com/content/api/contentstream-id/723fb80a-2dde-42a3-9793-7ae1be57c87f/0d25e16c-6057-4486-9877-554b0542daf6/Personal/Pay/Cards/Credit%20Card/Credit%20Card%20Landing%20Page/Credit%20Cards/Super%20Premium/Diners%20Club%20Black%20Metal%20Edition/Diners-Black-Card_264x167.png","https://www.hdfcbank.com/personal/pay/cards/credit-cards/diners-club-black","https://applyonline.hdfcbank.com/cards/credit-cards.html","₹10,000","₹10,000","Waived off on annual spends exceeding ₹5 lakh","Lifetime Free","1.99% per month","₹100","₹100 per transaction","₹99","NILL","NILL","2.5% of the withdrawn amount (Minimum ₹500)","Varies based on outstanding amount","2.5% of the over limit amount (Min. of ₹550)","2%","₹99","NILL","NILL","NILL","1% waiver on fuel surcharge on transactions over ₹400","NILL","5 Reward Points for every ₹150 spent, up to 10X on SmartBuy and 2X on weekend dining","NILL","NILL","Yes, on big spends","5 Reward Points for every ₹150 spent","Complimentary memberships, vouchers, and discounts","Unlimited lounge access, concierge service, insurance coverage","NILL","Complimentary memberships upon spending ₹1.5 lakh within the first 90 days","NILL","Select any 2 monthly vouchers on spends of ₹80,000","NILL","1% fuel surcharge waiver","2X on weekend dining","NILL","Complimentary golf games, travel insurance","NILL","NILL","NILL","NILL","NILL","NILL","Discounts at partner wellness centers","NILL","Unlimited access to 1000+ lounges worldwide","24/7 concierge service","Air accident cover, travel insurance, credit liability cover","Zero liability if reported within 24 hours","Discounts at partner wellness centers","Contactless payments, chip & PIN","Yes, accepted worldwide","The HDFC Bank Diners Club Black Credit Card offers premium travel, shopping, and lifestyle benefits, including unlimited lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Age: 21-60 years (salaried), 21-65 years (self-employed); Income: ₹1.75 lakh/month (salaried), ₹21 lakh/year (self-employed)","All dues must be paid on time; rewards program subject to change."
