"bank_name","card_name","card_type","card_category","card_usp","card_image_url","know_more_link","apply_now_link","joining_fee","annual_fee","annual_fee_waiver","add_on_card_fee","interest_rate_pa","card_replacement_fee","cash_payment_fee","duplicate_statement_fee","outstation_cheque_fee","hostlisting_charges","cash_withdrawal_fee","overdue_penalty_fee","over_limit_penalty","foreign_currency_transaction_fee","reward_point_redemption_fee","dynamic_currency_conversion_markup","education_transaction_fee","wallet_load_transaction_fee","fuel_transaction_fee","utility_transaction_fee","rewards_program","cashback_with_every_transaction","spend_based_reversal","flexipay","reward_points","rewards","features","returns_rate","welcome_benefit","welcome_points","milestone_benefit","bonus_points","fuel_benefits","dining_benefits","culinary_treats","travel_benefits","movie_benefits","OTT_benefits","cashback_offers","voucher_offers","mobile_app_benefits","stay_benefits","lifestyle_benefits","e_commerce","lounge_access","concierge_service","insurance","fraud_protection","health_and_wellness_benefits","security_features","international_use","full_card_description","eligibility_criteria","terms_and_conditions"
"SBI","SBI Card Miles Elite","Travel","Travel","Get 5000 Travel Credits as Welcome Gift","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/MILES-Elite_139x218-px-Front.png","https://www.sbicard.com/en/personal/credit-cards/travel/sbi-card-miles-elite.page","https://www.cardexpert.in/go/sbi_cashback","Rs. 4,999 + Taxes","Rs. 4,999","Annual Fee reversal on spends of ₹15 Lakh in a membership year","Nil","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1.99%","NILL","NILL","NILL","NILL","1% Fuel Surcharge Waiver","NILL","Earn 6 Travel Credits for every ₹200 spent on travel, 2 Travel Credits for every ₹200 on all other spends","NILL","Spend Based Reversal on Annual Spends of ₹15 Lac","Yes, on spends above ₹2,500","6 Travel Credits for every ₹200 spent on travel, 2 Travel Credits for every ₹200 on all other spends","Free movie tickets, shopping vouchers","8 complimentary Domestic Airport Lounge visits every year, 6 complimentary International Airport Lounge visits every year","NILL","5000 Travel Credits as Welcome Gift","NILL","20,000 Bonus Travel Credits on reaching annual spends of ₹12 Lakh","NILL","1% Fuel Surcharge Waiver","NILL","NILL","Complimentary Priority Pass Membership, 6 complimentary International Airport Lounge visits","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","8 complimentary Domestic Airport Lounge visits every year","NILL","Up to 6 flight cancellations per year, each limited to ₹ 3,500, Lost card liability up to ₹1 Lakh, Air Accident Cover up to ₹1 Crore","Zero liability if reported within 24 hours","NILL","Chip & PIN, contactless","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"SBI","SBI Card PULSE","Retail","Lifestyle","Get a Noise ColorFit Pulse 4 Pro Smart Watch worth Rs. 7,999 on payment of joining fee","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/240759_SBI_Pulse_349-x-218px-01.png","https://www.sbicard.com/en/personal/credit-cards/lifestyle/sbi-card-pulse.page","https://www.bankbazaar.com/credit-card/sbi-card-pulse.html","Rs. 1,499 + Taxes","Rs. 1,499 + Taxes","Renewal Fee reversed if annual spends for last year >= Rs. 2,00,000","Nil","3.75% p.m. (45% p.a.)","100 - 250","250","NILL","NILL","NILL","2.5% of transaction amount (subject to a minimum of Rs. 500)","NILL","2.5% of Overlimit Amount (subject to a minimum of Rs 600)","3.5%","NILL","3.5%","NILL","NILL","1% Fuel Surcharge waiver for each transaction between Rs.500 and Rs.4,000. Maximum Surcharge waiver of Rs.250 per statement cycle, per credit card account.","NILL","Enjoy 10 Reward Points per Rs. 100 spent on Chemist, Pharmacy, Sports, Dining and Movies spends. Earn 2 Reward Points per Rs.100 spent on all your other spends.","1% cashback on all spends","Get annual membership fee reversal from second year of your subscription. To avail fee reversal, you need to have spent Rs. 2 lakh or more on your SBI Card PULSE in the previous year.","With Flexipay, convert your transactions in easy monthly installments. Just transact for Rs. 2,500 or more using your SBI Card PULSE, and log onto sbicard.com within 30 days of purchase to convert it into Flexipay.","10 Reward Points per Rs. 100 spent on Chemist, Pharmacy, Sports, Dining and Movies spends. 2 Reward Points per Rs.100 spent on all your other spends.","Free movie tickets, shopping vouchers.","Complimentary 8 Domestic Lounge visits (Restricted to 2 per quarter), Fraud Liability Insurance Cover of Rs. 1 lakh, Air Accident Cover of Rs. 50 lakh.","NILL","Get a Noise ColorFit Pulse 4 Pro Smart Watch worth Rs. 7,999 on payment of joining fee","2,500 points on first transaction","Get Rs.1500 voucher on achieving retail spends of Rs. 4 lakh in a year","500 points on birthday month","1% Fuel Surcharge waiver for each transaction between Rs.500 and Rs.4,000. Maximum Surcharge waiver of Rs.250 per statement cycle, per credit card account.","20% off at select restaurants","Chef's table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","Complimentary 8 Domestic Lounge visits (Restricted to 2 per quarter)","24x7 concierge for travel bookings","Fraud Liability Insurance Cover of Rs. 1 lakh, Air Accident Cover of Rs. 50 lakh","Zero liability if reported within 24 hours","Enjoy 1 year complimentary FITPASS PRO Membership, to be received every year, on card renewal","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"SBI","SimplyCLICK SBI Card","Retail","Shopping","10X Reward Points on online spends with exclusive partners","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Simplyclick_349x218-Front.png","https://www.sbicard.com/en/personal/credit-cards/shopping/simplyclick-sbi-card.page","https://www.sbicard.com/en/eapply.page","₹ 499 + Taxes","₹ 499 + Taxes","Annual fee reversed on reaching annual spends of ₹ 1 Lakh","Nil","42%","₹ 100 to ₹ 250","₹ 250 + applicable taxes","₹ 100","","","2.5% of the transaction amount or ₹ 500 (whichever is higher)","Varies based on statement balance","2.5% of overlimit amount or ₹ 600 (whichever is higher)","3.50%","₹ 99","","","","1% fuel surcharge waiver on transactions between ₹ 500 & ₹ 3,000","","Earn 10X Reward Points on online spends with exclusive partners","NILL","Annual fee reversed on reaching annual spends of ₹ 1 Lakh","Yes, on spends above ₹ 2,500","10 points for every ₹ 100 spent on partner brands, 5 points for every ₹ 100 spent on other online purchases, 1 point for every ₹ 100 spent on all other spends","E-vouchers worth ₹ 2,000 on annual online spends of ₹ 1 Lakh and ₹ 2 Lakh","Contactless payments, worldwide acceptance, add-on cards available","NILL","Amazon gift card worth ₹ 500 on payment of joining fee","NILL","E-vouchers worth ₹ 2,000 on reaching annual online spends of ₹ 1 Lakh and ₹ 2 Lakh","NILL","1% fuel surcharge waiver on transactions between ₹ 500 & ₹ 3,000","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Yes, accepted worldwide","The SBI SimplyCLICK Credit Card is designed for online shoppers, offering exclusive rewards and cashback on digital transactions. Cardholders earn accelerated reward points on purchases made with top e-commerce platforms like Amazon, BookMyShow, Cleartrip, and more. With a low annual fee, easy EMI options, and additional perks like fuel surcharge waivers, this card is perfect for those who frequently shop online and want to maximize their savings.","Minimum age of 21 years and maximum age of 70 years, salaried or self-employed individuals","All dues must be paid on time; rewards program subject to change."
"SBI","CASHBACK SBI Card","Retail","Cashback","5% Cashback on online spends without any merchant restriction, 1% Cashback on offline spends","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/240759_SBI_Cashback_139-x-218px-01.png","https://www.sbicard.com/en/personal/credit-cards/rewards/cashback-sbi-card.page","https://www.sbicard.com/sprint/cashback?CS=sbic","Rs. 999","Rs. 999","Renewal Fee reversed if annual spends for last year >= Rs. 2,00,000","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 5% Cashback on online spends and 1% on offline spends","Yes","Reversal of Renewal Fee on annual spends of Rs.2 Lakh","NILL","NILL","NILL","Contactless payments, Fuel Surcharge Waiver, Worldwide Acceptance","NILL","NILL","NILL","NILL","NILL","1% Fuel Surcharge Waiver across all petrol pumps in India","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Yes, accepted worldwide","This card offers cashback on online and offline spends, with additional benefits like fuel surcharge waiver and contactless payments.","NILL","All dues must be paid on time; rewards program subject to change."
"SBI","SBI Card ELITE","Retail","Lifestyle","Welcome e-Gift Voucher worth Rs. 5,000 and complimentary movie tickets worth Rs. 6,000 every year.","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Elite_349x218-px-Front.png","https://www.sbicard.com/en/personal/credit-cards/lifestyle/sbi-card-elite.page","https://www.sbicard.com/en/personal/credit-cards/lifestyle/sbi-card-elite.page","Rs. 4,999 + Taxes","Rs. 4,999 + Taxes","Spend Based Reversal of Annual Fee on spends of Rs. 10 Lakhs","Nil","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1.99%","NILL","NILL","NILL","NILL","1% Fuel Surcharge Waiver","NILL","Earn 5X Reward Points on Dining, Departmental stores and Grocery Spends","NILL","Annual fee reversed if spends > Rs. 10 Lakhs","Yes, on spends above Rs. 2,500","2 Reward Points per Rs. 100 on all other spends, except fuel","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","Welcome e-Gift Voucher worth Rs. 5,000","NILL","Earn upto 50,000 Bonus Reward Points worth Rs. 12,500/ year","NILL","1% fuel surcharge waiver","NILL","NILL","Complimentary membership to the Priority Pass Program","Free Movie Tickets worth Rs. 6,000 every year","NILL","NILL","NILL","NILL","NILL","NILL","NILL","6 complimentary Airport Lounge visits per calendar year, outside India","Dedicated assistance on Flower Delivery, Gift Delivery, Online Doctor Consultation","Air Accident insurance coverage of ₹ 1 crore","Complimentary credit card fraud liability cover of ₹ 1 lakh","NILL","Chip and PIN, contactless","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"SBI","SimplySAVE SBI Card","Retail","Shopping","10x Reward Points on Dining, Movies, Departmental Stores and Grocery Spends, 0% fuel surcharge at petrol pumps","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/SimplySave_349x218-px-Front.png","https://www.sbicard.com/en/personal/credit-cards/shopping/simplysave-sbi-card.page","https://www.sbicard.com/en/personal/credit-cards/shopping/simplysave-sbi-card.page","Rs. 499 + Taxes","Rs. 499 + Taxes","Renewal Fee reversed if annual spends for last year >= Rs. 1,00,000","Nil","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 1 Reward Point on every Rs. 150 spent","1% cashback on all spends","Annual membership fee reversal from second year if spends > Rs. 1,00,000","Yes, on spends above Rs. 2,500","1 Reward Point per Rs. 150 spent","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","2,000 bonus Reward Points on spending Rs. 2,000 or more in first 60 days","NILL","Free flight ticket on spends above Rs. 5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef's table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","8 free domestic lounge visits per year","24x7 concierge for travel bookings","air accident cover, travel insurance","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"SBI","SBI Card PRIME","Retail","Shopping","Welcome e-gift Voucher worth Rs. 3,000 from various brands and 10 Reward Points per Rs. 100 spent on Dining, Groceries, Departmental stores and Movies.","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Prime_349x218-px-Front.png","https://www.sbicard.com/en/personal/credit-cards/rewards/sbi-card-prime.page","https://www.bankbazaar.com/credit-card.html?variant=slide","Rs. 2,999 + Taxes","Rs. 2,999 + Taxes","Waiver of Renewal Fee on annual spends of Rs. 3 Lakhs","Nil","45% per annum","NILL","₹250","NILL","NILL","NILL","2.5% of the amount withdrawn or ₹500 (Domestic ATMs)","From ₹0 to ₹500 - Nil, More than ₹500 up to ₹1,000 - ₹400, More than ₹1,000 up to ₹10,000 - ₹750, More than ₹10,000 up to ₹25,000 - ₹950, More than ₹25,000 up to ₹50,000 - ₹1,100, More than ₹50,000 - ₹1,300","2.5% of the over limit amount; minimum of ₹600","3.50%","₹99","NILL","NILL","NILL","NILL","NILL","Get 10 Reward Points per Rs. 100 spent on Dining, Groceries, Departmental stores and Movies; 2 Reward Points per Rs. 100 on all other retail spends except fuel.","1% Fuel Surcharge Waiver on transaction amount ranging from Rs. 500- Rs. 4000 across all petrol pumps.","Annual fee reversed if spends > Rs. 1 lakh/year","Yes, on spends above Rs. 2,500","10 Reward Points per Rs. 100 spent on Dining, Groceries, Departmental stores and Movies; 2 Reward Points per Rs. 100 on all other retail spends except fuel.","Pizza Hut e-Voucher worth Rs. 1,000 on achieving spends of Rs. 50,000 in a calendar quarter; E-Gift Voucher worth Rs. 7,000 from Yatra.com/Pantaloons on achieving annual spends of Rs. 5 Lakhs.","4 complimentary visits per calendar year to International Priority Pass Lounges, 8 complimentary visits per calendar year to Domestic Lounges in India, 20 Reward Points per Rs. 100 spent on your birthday.","NILL","Welcome e-gift Voucher worth Rs. 3,000 from various brands.","NILL","Free flight ticket on spends above Rs. 5 lakh/year.","500 points on birthday month.","1% Fuel Surcharge Waiver on transaction amount ranging from Rs. 500-Rs.4000 across all petrol pumps.","20% off at select restaurants.","NILL","Free travel insurance, airport transfers.","Buy 1 Get 1 free ticket monthly.","3 months free Netflix.","NILL","₹500 Myntra voucher on spends > ₹50,000.","Extra points on app transactions.","10% off at partner hotels.","Free gym membership.","2% cashback on Amazon/Flipkart.","4 complimentary visits per calendar year to International Priority Pass Lounges, 8 complimentary visits per calendar year to Domestic Lounges in India.","24x7 concierge for travel bookings.","Complimentary Air Accident Liability Cover of Rs. 50 lakhs, Fraud Liability Cover of ₹ 1 lakh.","Zero liability if reported within 24 hours.","NILL","Chip and PIN, contactless.","Yes, accepted worldwide.","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","You must be between 18 - 80 years of age. Add-on credit cardholder must be above 18 years.","All dues must be paid on time; rewards program subject to change."
"SBI","SBI Card ELITE","Lifestyle","Travel & Lifestyle","Complimentary airport lounge access, free movie tickets, and high rewards on dining and shopping.","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Elite_349x218-px-Front.png","https://www.sbicard.com/en/personal/credit-cards/lifestyle/sbi-card-elite.page","https://www.sbicard.com/en/eapply.page","₹4,999 + Taxes","₹4,999 + Taxes","Annual fee waived on spends of ₹10 lakh or more in a year","Nil","3.50% per month or 42% per annum","₹100 to ₹250","₹250","₹100","NILL","NILL","2.5% of the amount withdrawn or ₹500 (Domestic ATMs)","Varies based on amount due","2.5% of the over limit amount; minimum of ₹600","1.99%","NILL","NILL","NILL","NILL","1% fuel surcharge waiver on transactions between ₹500 to ₹4,000","NILL","5X Reward Points on Dining, Departmental stores and Grocery Spends; 2 Reward Points per ₹100 on all other spends","NILL","Annual fee reversed on spends of ₹10 lakh","Yes, on spends above ₹2,500","2 Reward Points per ₹100 spent","Free movie tickets worth ₹6,000 every year, up to 50,000 Bonus Reward Points worth ₹12,500 annually","Complimentary airport lounge access, low forex markup, concierge service, and fraud liability cover","NILL","Welcome e-Gift Voucher worth ₹5,000","NILL","Earn up to 50,000 Bonus Reward Points on achieving annual spends of ₹3 lakh, ₹4 lakh, ₹5 lakh, and ₹8 lakh","NILL","1% fuel surcharge waiver","NILL","NILL","Complimentary international lounge access via Priority Pass","Free movie tickets worth ₹6,000 annually","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 complimentary domestic lounge visits every quarter, 6 international lounge visits annually","Dedicated assistance for various services","Fraud liability cover of ₹1 lakh","Zero liability if reported within 48 hours","NILL","Chip and PIN enabled, contactless payments","Yes, accepted worldwide","The SBI Card ELITE is a premium credit card offering extensive travel, shopping, and lifestyle benefits, including complimentary lounge access and high rewards on spending.","Minimum age of 21 years, good credit score, and sufficient income to meet the bank's requirements.","All dues must be paid on time; rewards program subject to change."
"SBI","SBI Card PULSE","Lifestyle","Lifestyle","Get a Noise ColorFit Pulse 4 Pro Smart Watch worth Rs. 7,999 on payment of joining fee","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/240759_SBI_Pulse_349-x-218px-01.png","https://www.sbicard.com/en/personal/credit-cards/lifestyle/sbi-card-pulse.page","https://www.sbicard.com/sprint/pulseMaster","Rs. 1,499 + Taxes","Rs. 1,499 + Taxes","Waived off on annual spends of Rs. 2 Lakhs","NILL","3.5%","Rs. 100 - Rs. 250","Rs. 250","Rs. 100","NILL","NILL","2.5% or Rs. 500","NILL","2.5%","3.5%","NILL","3.5%","NILL","NILL","1%","NILL","10 Reward Points per Rs. 100 spent on Chemist, Pharmacy, Sports, Dining and Movies spends; 2 Reward Points per Rs. 100 spent on all other spends","NILL","Annual fee reversed if spends > ₹2 lakh/year","Yes, on spends above ₹2,500","10 Reward Points per Rs. 100 spent on Chemist, Pharmacy, Sports, Dining and Movies; 2 Reward Points per Rs. 100 on other spends","Free movie tickets, shopping vouchers, complimentary memberships","Complimentary 8 Domestic Lounge visits, Priority Pass Membership, Fraud Liability Insurance Cover, Air Accident Cover","NILL","Noise ColorFit Pulse 4 Pro Smart Watch worth Rs. 7,999","NILL","Get Rs.1500 E-Voucher on achieving annual retail spends of Rs. 4 Lakhs; Waiver of Renewal Fee on annual spends of Rs.2 Lakhs","NILL","1% fuel surcharge waiver","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary 8 Domestic Lounge visits (Restricted to 2 per quarter)","NILL","Fraud Liability Insurance Cover of Rs. 1 lakh, Air Accident Cover of Rs. 50 lakh","Zero liability if reported within 24 hours","1 year complimentary FITPASS PRO Membership, 1 year complimentary Netmeds First Membership","NILL","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"SBI","Doctor's SBI Card (in association with IMA)","Retail","Lifestyle","The only credit card to be associated with the esteemed Indian Medical Association (IMA)","https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/doctor-ima-card-face.png","https://www.sbicard.com/en/personal/credit-cards/lifestyle/doctors-ima-sbi-card.page","https://www.sbicard.com/en/eapply.page","Rs. 1,499 + Taxes","Rs. 1,499","Renewal Fee Reversal on annual spends of Rs. 2 Lakhs","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% Fuel Surcharge Waiver at petrol pumps across the country","NILL","Get 5X Reward Points on Medical Supplies, Travel Bookings & International Spends","NILL","Annual fee reversed if spends > Rs. 1 lakh/year","Yes, on spends above Rs. 2,500","Earn 1 Reward Point per Rs. 100 for all other spends","E-Gift Voucher from Yatra.com worth Rs. 5,000 on achieving annual spends of Rs. 5 Lakhs","Complimentary membership to the Priority Pass Program worth $99, 4 complimentary visits per year to International Airport Lounges outside India","NILL","Welcome e-Gift Voucher worth Rs. 1,500 from Yatra.com","NILL","E-Gift Voucher from Yatra.com worth Rs. 5,000 on achieving annual spends of Rs. 5 Lakhs","NILL","1% Fuel Surcharge Waiver at petrol pumps across the country","NILL","NILL","Free travel insurance, airport transfers","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","8 complimentary visits per year to Domestic Airport Lounges in India","24x7 concierge for travel bookings","Professional Indemnity Insurance Cover of Rs. 20 Lakhs","Zero liability if reported within 24 hours","NILL","Chip & PIN, contactless","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
