"bank_name","card_name","card_type","card_category","card_usp","card_image_url","know_more_link","apply_now_link","joining_fee","annual_fee","annual_fee_waiver","add_on_card_fee","interest_rate_pa","card_replacement_fee","cash_payment_fee","duplicate_statement_fee","outstation_cheque_fee","hostlisting_charges","cash_withdrawal_fee","overdue_penalty_fee","over_limit_penalty","foreign_currency_transaction_fee","reward_point_redemption_fee","dynamic_currency_conversion_markup","education_transaction_fee","wallet_load_transaction_fee","fuel_transaction_fee","utility_transaction_fee","rewards_program","cashback_with_every_transaction","spend_based_reversal","flexipay","reward_points","rewards","features","returns_rate","welcome_benefit","welcome_points","milestone_benefit","bonus_points","fuel_benefits","dining_benefits","culinary_treats","travel_benefits","movie_benefits","OTT_benefits","cashback_offers","voucher_offers","mobile_app_benefits","stay_benefits","lifestyle_benefits","e_commerce","lounge_access","concierge_service","insurance","fraud_protection","health_and_wellness_benefits","security_features","international_use","full_card_description","eligibility_criteria","terms_and_conditions"
"Standard Chartered","Rewards Credit Card","Retail","Shopping","Earn 4X rewards on all retail spends + bonus 4X rewards on monthly spends over INR 20,000. No Joining Fee, Free lounge access, Fuel Surcharge waiver and many more.","https://av.sc.com/in/content/images/in-all-credit-card-banner.jpg","https://www.sc.com/in/credit-cards/rewards-credit-card/?pid=cc_rewardscard_cclp&cid=cc_rewardscard_cclp","https://www.sc.com/ae/credit-cards/journey/apply-now/?productName=journey","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 4X rewards on all retail spends","NILL","NILL","NILL","4 points per ₹150 spent","NILL","Free lounge access, Fuel Surcharge waiver","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1 free lounge access per calendar quarter","NILL","NILL","NILL","NILL","NILL","NILL","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Applicant’s age should be between 18 and 65 years for Salaried person and for Self Employed age should be 18 and 67 years. Minimum age for add-on cardholder is 18 years. Applicants should have a stable monthly income. Applicants should belong to credit card sourcing cities/locations of the Bank. All applications are subject to credit and other policy checks of the Bank.","All dues must be paid on time; rewards program subject to change."
"Standard Chartered","Rewards Credit Card","Retail","Shopping","Earn 4X rewards on all retail spends and additional 4X rewards on monthly spends above INR 20,000","https://av.sc.com/in/content/images/in-rewards-card-pintile.jpg","https://www.sc.com/in/credit-cards/rewards-credit-card/","https://apply.standardchartered.co.in/credit-card/provide-info/?card=1666597&pid=cc_rewardscc_product_page_masthead","Nil","Rs. 1,000 + GST","Renewal Fee Waived on Spending ₹1.5 Lakhs or More","NILL","3.75% per month","NILL","NILL","NILL","NILL","NILL","3% of the withdrawn amount subject to a minimum of Rs. 300","NILL","NILL","3.5% of the transaction amount","Rs. 99","NILL","NILL","NILL","1% fuel surcharge waiver on all fuel transactions","NILL","Earn 4 reward points on every ₹150 spent on retail purchases, 1 reward point on every ₹150 spent on government payments and insurance.","NILL","Renewal Fee Waived on Spending ₹1.5 Lakhs or More","NILL","4 Reward Points on every ₹150 spent on retail purchases, 1 Reward Point on every ₹150 spent on government payments and insurance.","Complimentary domestic lounge access every quarter, 1% fuel surcharge waiver on all fuel purchases.","Free lounge access, 4X rewards on retail spends, no joining fee, spend-based fee waiver.","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver on all fuel purchases.","NILL","NILL","Complimentary domestic lounge access every quarter.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1 complimentary domestic lounge access every quarter, capped at 4 visits per year.","NILL","NILL","NILL","NILL","NILL","NILL","The Standard Chartered Rewards Credit Card offers a great rewards program with 4X points on retail spends and additional benefits like complimentary lounge access, making it ideal for frequent shoppers.","Age between 18 and 65 years, stable monthly income, must belong to credit card sourcing cities/locations of the Bank.","All applications are subject to credit and other policy checks of the Bank."
"Standard Chartered","Standard Chartered EaseMyTrip Credit Card","Retail","Travel","Enjoy flat 20% & 10% discount on hotel & flight bookings.","https://av.sc.com/in/content/images/in-emt-card-banner.jpg","https://www.sc.com/in/credit-cards/easemytrip-credit-card/","https://sc.com/in/credit-cards/easemytrip-credit-card#","NILL","₹350 + GST","Get annual fee of ₹350 waived off on spends of ₹50,000 or more on Standard Chartered EaseMyTrip Credit Card in the previous year.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Get 10x rewards on every ₹100 spent at standalone hotel and airline websites/apps/outlets.","NILL","NILL","NILL","2x reward points for every ₹100 spent on all other category of retail spends.","Free movie tickets, shopping vouchers.","Complimentary domestic lounge access – 2 per year, Contactless payments, secure online transactions.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 complimentary domestic lounge access per calendar year.","NILL","NILL","NILL","NILL","NILL","Yes, accepted worldwide.","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Applicant’s age should be between 18 and 65 years, stable monthly income, and must belong to credit card sourcing cities/locations of the Bank.","All dues must be paid on time; rewards program subject to change."
"Standard Chartered","Smart Credit Card","Retail","Cashback","Get cashback up to INR 18,000 annually","https://av.sc.com/in/content/images/Smart-Card-Banner-400-x-400-v1.jpg","https://www.sc.com/in/credit-cards/smart-credit-card/","https://sc.com/in/credit-cards/smart-credit-card#","INR 499 + GST","INR 499 + GST","Renewal fee reversed for clients with spends greater than or equal to INR 120,000 in the preceding year","NILL","0.99% per month","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 2% cashback on online spends, 1% on other spends","Yes","NILL","Yes, on spends above ₹2,000","NILL","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver","20% off at select restaurants","NILL","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","8 free domestic lounge visits per year","24x7 concierge for travel bookings","Air accident cover, travel insurance","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Applicant’s age should be between 18 and 65 years, stable monthly income","All dues must be paid on time; rewards program subject to change."
"Standard Chartered Bank","Ultimate Credit Card","Retail","Lifestyle","Access to over 1000 airport lounges worldwide and 5% cashback on duty-free spends.","https://av.sc.com/in/content/images/Ultimate-card-Banner-400-x-400-v1.jpg","https://www.sc.com/in/credit-cards/ultimate-card/","https://apply.standardchartered.co.in/nominee-credit-card-details/","INR 5,000","INR 5,000","NILL","Nil","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2%","NILL","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","Earn 5 reward points per INR 150 spent.","5% cashback on duty-free spends","NILL","Yes, on spends above INR 5,000","5 points per INR 150 spent","Free golf sessions, cashback on duty-free spends, and access to airport lounges.","Contactless payments, secure online transactions, and digital payment solutions.","NILL","6000 Reward Points worth Rs. 6000 on payment of joining fee.","6000 points on joining","NILL","NILL","1% fuel surcharge waiver","20% off at select restaurants","NILL","Complimentary overseas air accident cover of INR 1 Crore and medical insurance worth USD 25,000.","NILL","NILL","NILL","NILL","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","4 complimentary domestic lounge accesses per calendar quarter and 1 international lounge access per month with Priority Pass.","24x7 concierge for travel bookings","Air accident cover and travel insurance","Zero liability if reported within 24 hours","NILL","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Applicant’s age should be between 21 and 65 with a stable monthly income.","All dues must be paid on time; rewards program subject to change."
"Standard Chartered","Platinum Rewards Credit Card","Retail","Rewards","5X reward points on dining and fuel spends with no limit on monthly rewards earned.","https://av.sc.com/in/content/images/in-ltf-card-banner.jpg","https://www.sc.com/in/credit-cards/platinum-rewards/","https://apply.standardchartered.co.in/credit-card/provide-info/?card=28239","₹250","₹250","Waived off on spending ₹60,000 in a year","NILL","45%","NILL","NILL","NILL","NILL","NILL","3% of cash withdrawal subject to a minimum charge of ₹300","Minimum ₹10 or 1% of the total outstanding balance as of the statement date, whichever is higher","₹50","3.5% on the transaction amount","₹99 per redemption request","NILL","NILL","NILL","NILL","NILL","Earn 5 reward points for every ₹150 spent on dining and fuel, and 1 reward point for every ₹150 spent on other categories.","NILL","Spend ₹500 within 30 days to avoid joining fee of ₹250 + GST","Yes, on outstanding amounts up to ₹5,00,000","5 points per ₹150 on dining and fuel, 1 point per ₹150 on other spends","Cashback on restaurant spends within first 90 days (up to ₹500)","Contactless payments, secure online transactions, digital payment solutions, online banking and SC Mobile access, balance on EMI, 360-degree rewards, dial-a-loan, balance transfer, outstanding balance to EMI.","0.1% to 0.8%","Cashback on restaurant spends within first 90 days (up to ₹500)","NILL","NILL","NILL","Fuel surcharge waiver at select petrol stations","Exclusive discounts at partner restaurants","NILL","NILL","NILL","NILL","NILL","NILL","Extra points on app transactions","NILL","NILL","NILL","NILL","NILL","NILL","Zero liability if reported within 24 hours","NILL","3D secure OTP verification, fraud detection","Yes, accepted worldwide","The Standard Chartered Platinum Rewards Credit Card offers premium rewards on dining and fuel, with no cap on monthly rewards, making it ideal for frequent spenders in these categories.","Age between 21 and 65 years, minimum monthly income of ₹20,000, must belong to credit card sourcing cities/locations of the Bank.","All dues must be paid on time; rewards program subject to change."
"Standard Chartered","Super Value Titanium Credit Card","Retail","Fuel, Utility, Telephone","5% cashback on fuel, telephone and utility bills","https://av.sc.com/in/content/images/my-svt-pintile.jpg","https://www.sc.com/in/credit-cards/super-value-titanium/","https://www.sc.com/in/credit-cards/super-value-titanium/#","NILL","750","Annual fee reversal on meeting INR 90,000 spends","NILL","0.99% p.m.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","3.5%","NILL","NILL","NILL","NILL","NILL","NILL","Earn 1 reward point per ₹150 spent","5% cashback on fuel, telephone and utility bills","NILL","Yes, on spends above ₹2,000","1 reward point per ₹150 spent","Cashback on fuel, utility and telephone bills","Contactless payments, secure online transactions, digital payment solutions","NILL","NILL","NILL","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","5% cashback on fuel spends","NILL","NILL","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","1 complimentary international lounge access per month","24x7 concierge for travel bookings","Air accident cover, travel insurance","Zero liability if reported within 24 hours","NILL","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Age between 21 and 65 years, minimum monthly income of INR 55,000","All dues must be paid on time; rewards program subject to change."
"Standard Chartered","Manhattan Credit Card","Retail","Shopping","5% cashback on groceries, supermarkets, and departmental stores; 3 reward points per Rs. 150 spent on other purchases.","https://av.sc.com/in/content/images/man.png","https://www.sc.com/sg/credit-cards/manhattan-world-mastercard/","https://www.sc.com/sg/credit-cards/manhattan-world-mastercard/#null","Rs. 999","Rs. 999","Annual fee waived on spending Rs. 1,20,000 or more in the previous year.","NILL","45%","NILL","NILL","NILL","NILL","NILL","3% of the amount withdrawn or Rs. 300","Rs. 100 for statement outstanding balance between Rs. 101 and Rs. 500; Rs. 500 for statement outstanding balance between Rs. 501 and Rs. 5,000; Rs. 700 for statement outstanding balance between Rs. 5,001 and Rs. 10,000; Rs. 800 for statement outstanding balance between Rs. 10,001 and Rs. 25,000; Rs. 1200 for statement outstanding balance greater than Rs. 25,000.","NILL","3.5% on all overseas transactions","Rs 99 per redemption request","NILL","NILL","NILL","1% fuel surcharge applicable subject to a minimum of Rs. 10.","NILL","Earn 3 reward points per Rs. 150 spent, and 5% cashback on departmental stores, groceries, and supermarkets.","5% cashback on groceries, supermarkets, and departmental stores; 3 reward points per Rs. 150 spent on other purchases.","Annual fee waived on spending Rs. 1,20,000 or more in the previous year.","NILL","3 reward points per Rs. 150 spent.","5% cashback on groceries, supermarkets, and departmental stores; 3 reward points per Rs. 150 spent on other purchases.","Cashback on groceries, departmental stores, and supermarkets; easy reward redemption through the 360-degree Rewards portal.","NILL","5,000 Bonus Reward Points on payment of joining fee.","5,000 Bonus Reward Points on payment of joining fee.","NILL","NILL","1% fuel surcharge applicable subject to a minimum of Rs. 10.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Yes, accepted worldwide.","The Standard Chartered Manhattan Credit Card is designed for everyday shopping, offering cashback on groceries and rewards on other purchases, making it a great choice for those looking to save while spending.","Age 21 years – 65 years (18 years for add-on); Stable income as a salaried or self-employed; Decent credit score (750 or above).","All dues must be paid on time; rewards program subject to change."
"Standard Chartered","Priority Banking Visa Infinite Credit Card","Retail","Travel","Complimentary travel medical insurance and Priority Pass lounge access.","https://av.sc.com/in/content/images/priority-visa-infinite-credit-card-tile.png","https://www.sc.com/sg/credit-cards/priority-visa-infinite-card/","https://ob.sc.com/sg/apply?product=880&campaign=5887","NILL","S$327 (including 9% GST)","Waived for the first year and for the first 5 supplementary cards.","S$163.50 (including 9% GST)","27.9% per annum","NILL","NILL","NILL","NILL","NILL","8% on the Cash Advance, subject to a minimum fee of $15","S$100","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 2.5 points for every $1 spent.","NILL","NILL","NILL","2.5 points per $1 spent","Complimentary travel medical insurance, Priority Pass lounge access, 360 Rewards Points.","Contactless payments, 24 hours Visa Infinite Concierge Service.","NILL","Samsonite MODUS Spinner 25” worth S$610 and S$100 cashback when you apply and spend S$800 within 60 days of your card approval.","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary travel medical insurance worth $50,000.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary visits with Priority Pass lounge programme.","24 hours Visa Infinite Concierge Service.","Complimentary travel medical insurance worth $50,000.","Zero liability if reported within 24 hours.","NILL","Chip & PIN, contactless, 2FA.","Yes, accepted worldwide.","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Age 21 to 65 years, minimum annual income of S$30,000 for Singapore Citizens and Permanent Residents, S$60,000 for Foreigners with Employment Passes.","All dues must be paid on time; rewards program subject to change."
"Standard Chartered","DigiSmart Credit Card","Retail","Shopping","10% off at Blinkit and Zomato, Buy 1 Get 1 movie ticket at INOX, 20% off on Myntra, 15% cashback on Ola, and travel discounts on Yatra.","https://av.sc.com/in/content/images/digismart-credit-card-tile.jpg","https://www.sc.com/in/credit-cards/digismart-card/","https://apply.standardchartered.co.in/credit-card?selectedCardId=14&pid=cc_digi_benefits_art3_grab","₹49 + GST","₹49 per month","Waived on spending ₹5,000 in the previous calendar month","₹49 + GST","45%","NILL","NILL","NILL","NILL","NILL","3% of cash withdrawn or flat ₹300 (whichever is higher)","Varies based on outstanding balance","2.5% of the amount overused, minimum ₹500","3.5% of the transaction amount","NILL","NILL","NILL","NILL","1% fuel surcharge","NILL","Cashback on online shopping and dining","15% cashback on Ola rides","Monthly fee waived on spending ₹5,000","Available for transactions above ₹5,000","NILL","Discounts on various online platforms","Contactless payments, secure online transactions, loan against credit card","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver","10% off on Zomato","NILL","20% off on domestic flights with Yatra","Buy 1 Get 1 free at INOX","NILL","15% cashback on Ola","NILL","Online banking and SC Mobile for easy management","NILL","NILL","Discounts on Myntra and Grofers","NILL","NILL","NILL","3D secure OTP verification","NILL","Contactless payments, secure online transactions","NILL","The DigiSmart Credit Card is designed for online shoppers, offering cashback and discounts on various platforms, making it ideal for millennials.","Age between 21 and 65 years, minimum monthly income of ₹50,000, good credit score (750 or above)","All dues must be paid on time; rewards program subject to change."
