"bank_name","card_name","card_type","card_category","card_usp","card_image_url","know_more_link","apply_now_link","joining_fee","annual_fee","annual_fee_waiver","add_on_card_fee","interest_rate_pa","card_replacement_fee","cash_payment_fee","duplicate_statement_fee","outstation_cheque_fee","hostlisting_charges","cash_withdrawal_fee","overdue_penalty_fee","over_limit_penalty","foreign_currency_transaction_fee","reward_point_redemption_fee","dynamic_currency_conversion_markup","education_transaction_fee","wallet_load_transaction_fee","fuel_transaction_fee","utility_transaction_fee","rewards_program","cashback_with_every_transaction","spend_based_reversal","flexipay","reward_points","rewards","features","returns_rate","welcome_benefit","welcome_points","milestone_benefit","bonus_points","fuel_benefits","dining_benefits","culinary_treats","travel_benefits","movie_benefits","OTT_benefits","cashback_offers","voucher_offers","mobile_app_benefits","stay_benefits","lifestyle_benefits","e_commerce","lounge_access","concierge_service","insurance","fraud_protection","health_and_wellness_benefits","security_features","international_use","full_card_description","eligibility_criteria","terms_and_conditions"
"YES BANK","MARQUÉE Credit Card","Premium","Travel, Shopping, Rewards","Unlimited international lounge access for primary and add-on card members","https://www.yesbank.in/content/published/api/v1.1/assets/CONT6938F3CFB422440E9E581D06EDB4CCBD/native/marquee-card-img.png?channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/marquee-credit-card","https://yesorigins.yesbank.in/CCLead/ApplicantDetails?uid=ab287&utm_campaign=banner&utm_content=CC&utm_medium=marquee&utm_source=website","₹9,999 + Applicable Taxes","₹4,999 + Applicable Taxes","Annual fee waived on spends above ₹10 lakh/year","NILL","35.88% p.a.","NILL","NILL","NILL","NILL","NILL","NILL","Rs. 1,350 or 10% of total outstanding amount, whichever is lower","NILL","1%","NILL","NILL","NILL","NILL","NILL","NILL","36 YES Rewardz Points per ₹200 spent on online shopping, 18 YES Rewardz Points per ₹200 on offline spends, 10 YES Rewardz Points per ₹200 on other categories","NILL","NILL","Yes, on spends above ₹1,500","36 YES Rewardz Points per ₹200 spent on online shopping","Unlimited international lounge access, movie ticket offers, golf lessons, purchase protection","Contactless payments, card control feature, e-mandate for bill payments","4.5%","40,000 YES Rewardz Points as a welcome bonus","40,000 YES Rewardz Points","20,000 bonus YES Rewardz Points on renewal fee payment","NILL","1% fuel surcharge waiver of up to ₹1,000 per month","Minimum 15% off at select restaurants","NILL","Unlimited international lounge access, 6 domestic lounge visits per quarter","Buy 1 Get 1 offer on movie tickets","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Unlimited international lounge access, 6 domestic lounge visits per quarter","NILL","Purchase protection cover for electronics purchased online","NILL","NILL","NILL","Yes, accepted worldwide","The YES Bank MARQUÉE Credit Card offers premium lifestyle, travel, and reward benefits, including unlimited lounge access and a competitive reward rate, making it ideal for high-income individuals.","Age: 21 to 60 years, Minimum Income: ₹3 lakh p.m. or ITR of min. ₹36 lakh p.a.","All dues must be paid on time; rewards program subject to change."
"YES BANK","Wellness Plus Credit Card","Retail","Health & Wellness","Complimentary Health Check-up, Accelerated Reward Points on Chemist & Pharmaceutical Stores, Complimentary Fitness Sessions, 24*7 consultations with doctors, Complimentary Lounge access","https://www.yesbank.in/content/published/api/v1.1/assets/CONTFEAC8B1B6D974B9C81986B59233DF55D/native/wellness-plus-card.png?channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/wellness-plus-cards#","https://yesorigins.yesbank.in/CCLead/ApplicantDetails?uid=ab287&utm_campaign=banner&utm_content=CCapplynow&utm_medium=featuredcards&utm_source=website","NILL","INR 1499*+ Applicable Taxes","NILL","NILL","3.99% per month (47.88% annually)","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% + applicable GST on utility transactions above INR 15,000 in a month, capped at INR 3000","Earn 30 Reward Points on every INR 200 spent on Chemists / Pharmaceutical stores, 6 Reward Points on spending INR 200 on other categories","NILL","NILL","Yes, on spends above ₹2,500","NILL","Free Amazon voucher worth ₹500 on spending ₹1000 within first 30 days","Complimentary Health Check-up, Accelerated Reward Points on Chemist & Pharmaceutical Stores, Complimentary Fitness Sessions, 24*7 consultations with doctors, Complimentary Lounge access","NILL","Free Amazon voucher worth ₹500 on spending ₹1000 within first 30 days","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary Lounge access","NILL","NILL","NILL","Complimentary Health Check-up, Complimentary Fitness Sessions, 24*7 consultations with doctors","NILL","NILL","This card offers premium health and wellness benefits, including complimentary health check-ups, fitness sessions, and 24/7 doctor consultations, making it ideal for health-conscious individuals.","Between 21-60 years of age, Salaried or Self-employed individuals, Minimum net salary of INR 20,000 per month or Income Tax Return of INR 7.5 lakh and above","All dues must be paid on time; rewards program subject to change."
"YES BANK","RESERV Credit Card","Retail","Shopping","Complimentary International Airport Lounge Access","https://www.yesbank.in/content/published/api/v1.1/assets/CONT6C0A0349EEA34C7083FD43807753116E/native/reserv-card-img.png?channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/cards/credit-card/reserv-credit-card","https://yesorigins.yesbank.in/CCLead/ApplicantDetails?uid=ab287&utm_campaign=banner&utm_content=CC&utm_medium=reserv&utm_source=website","INR 2,499","INR 2,499","Waived off on total retail spends of INR 40,000/- done within one month of card set up date","NILL","35.88%","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Preferential Foreign Currency Markup of 1.75%","NILL","NILL","1% fee + applicable GST on education transactions done through third-party websites, capped at INR 5,000 per calendar month","1% fee + applicable GST on wallet transactions, capped at INR 5,000 per calendar month","1% fee + applicable GST on fuel transactions above INR 10,000, capped at INR 5,000 per calendar month","1% fee on utility transactions above INR 15,000 in a month, capped at INR 3,000","Earn 24 YES Rewardz Points on every INR 200 for Online Shopping, 12 YES Rewardz Points on every INR 200 for Offline Shopping, 6 YES Rewardz Points on every INR 200 on Select categories","NILL","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹2,500","24 YES Rewardz Points on every INR 200 for Online Shopping","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","₹1,000 Amazon voucher","2,500 points on first transaction","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef's table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","8 free domestic lounge visits per year","24x7 concierge for travel bookings","Air accident cover, travel insurance","Zero liability if reported within 24 hours","NILL","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Between 21-60 years of age, Salaried or self employed, Minimum Net Salary of INR 2 lakh per month or Income Tax Return of INR 18 lakh and above","All dues must be paid on time; rewards program subject to change."
"YES BANK Ltd.","Yes Private Credit Card","Premium","Lifestyle","Exclusive benefits and rewards for high net worth individuals.","https://www.yesbank.in/content/published/api/v1.1/assets/CONTC50C38386D314CF4A4DA19F2984AF708/native?cb=_cache_bda4&channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/yes-private-credit-card","https://yesorigins.yesbank.in/CCLead/ApplicantDetails?uid=ab287&utm_campaign=banner&utm_content=CCapplynow&utm_medium=featuredcards&utm_source=website","Rs.50,000 + Applicable Taxes","Rs.10,000 + Applicable Taxes","Reversed on spends of Rs. 25,00,000 within 12 months prior to the renewal","NILL","2.99%","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","0.50% Foreign Currency Mark up charges on all international spends","NILL","NILL","1% fee + applicable GST","NILL","1% fee + applicable GST on transactions above INR 10,000","1% + applicable GST on spends above ₹50,000 in a month","Earn 20 Reward Points on domestic and 40 Reward Points on international spends for every INR 200","Upto 2% Cashback on domestic and 3% Cashback on international spends as Reward Points","Annual fee reversed if spends > ₹25,00,000","NILL","20 Reward Points on domestic and 40 Reward Points on international spends for every INR 200","Annual benefits of 4 Lakh Plus for the card holder","Unlimited access to airport lounges, concierge services, exclusive dining experiences","NILL","Oberoi E-Gift Vouchers worth INR 9,000","NILL","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef's table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","Unlimited access under the LoungeKey programme","24x7 concierge for travel bookings","Air accident cover, travel insurance","Zero liability if reported within 24 hours","Access to best medical professionals","Chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"YES BANK","Wellness Plus Credit Card","Retail","Health & Wellness","Complimentary health check-ups, fitness sessions, and accelerated rewards on chemist/pharmaceutical spends.","https://www.yesbank.in/content/published/api/v1.1/assets/CONTFEAC8B1B6D974B9C81986B59233DF55D/native/wellness-plus-card.png?channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/wellness-plus-cards","https://yesorigins.yesbank.in/CCLead/ApplicantDetails?uid=ab287&utm_campaign=banner&utm_content=CCapplynow&utm_medium=featuredcards&utm_source=website","₹1,499","₹1,499","NILL","NILL","3.99%","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","3.5%","₹100","NILL","NILL","NILL","1%","NILL","30 Reward Points per ₹200 spent on chemists/pharmaceutical stores; 6 Reward Points per ₹200 spent on other categories.","NILL","NILL","Yes, on spends above ₹2,500","30 Reward Points per ₹200 spent on chemists/pharmaceutical stores; 6 Reward Points per ₹200 spent on other categories.","Complimentary health check-ups, fitness sessions, and accelerated rewards on chemist/pharmaceutical spends.","Complimentary annual health check-up, unlimited consultations with nutritionists, 12 complimentary fitness sessions per month, 2 domestic lounge visits quarterly.","NILL","Amazon voucher worth ₹500 on spending ₹1000 within first 30 days.","NILL","NILL","NILL","1% fuel surcharge waiver on all fuel transactions above ₹400 and below ₹5,000, capped at ₹250 per month.","NILL","NILL","2 complimentary domestic lounge visits quarterly.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","8 complimentary domestic lounge visits annually (2 per quarter).","NILL","Life insurance cover of ₹1 crore in case of death due to flight accidents; medical insurance cover of ₹25 lakh in case of emergency hospitalization when traveling overseas; credit shield cover in case of accidental death of the primary cardholder.","NILL","Complimentary health check-ups, fitness sessions, and unlimited consultations with nutritionists.","NILL","NILL","The YES Bank Wellness Plus Credit Card offers a range of health and wellness benefits, including complimentary health check-ups, fitness sessions, and accelerated rewards on chemist/pharmaceutical spends, making it ideal for health-conscious individuals.","Minimum income of ₹20,000 per month (salaried) or ₹7.5 lakh per year (self-employed).","NILL"
"Yes Bank","Yes ACE Credit Card","Retail","Shopping","Unlimited cashback on all spends","https://www.yesbank.in/content/published/api/v1.1/assets/CONT659CAB7F62E54F95952CC8120D7FFDC0/native/ace-card-img.png?channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/ace-credit-card","https://www.bankbazaar.com/credit-card.html?variant=slide&WT.mc_id=CROSS_SELL_IL_CCBUTTON_207604&utm_source=bb&utm_medium=seo&utm_campaign=CROSS_SELL_IL_CCBUTTON_207604","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% cashback on all spends","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL"
"YES BANK","ELITE+ Credit Card","Retail","Lifestyle","Complimentary airport lounge access, accelerated rewards on spends, and complimentary golf benefits.","https://www.yesbank.in/content/published/api/v1.1/assets/CONT5F5A5A2D2F534C35B1FB865A29309793/native/elite-card-img.png?channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/elite-plus-credit-card","https://applycc.yesbank.in/YESBankCreditCard/?uid=ab014&utm_source=Prosperitycashbackplus&utm_medium=website&utm_campaign=banner&utm_content=CC","₹999","₹999","Waived off on total retail spends of ₹20,000 within 30 days of card issuance.","NILL","3.80% per month (45.60% annually)","NILL","NILL","NILL","NILL","NILL","NILL","3.80% per month","NILL","2.75%","₹100 per redemption request","NILL","1% fee + applicable GST on education transactions through third-party websites, capped at ₹5,000 per month.","1% fee + applicable GST on wallet transactions, capped at ₹3,000 per month.","1% fee + applicable GST on fuel transactions above ₹10,000, capped at ₹5,000 per month.","1% fee + applicable GST on utility transactions above ₹15,000, capped at ₹3,000 per month.","Earn 12 YES Rewardz Points on every ₹200 spent on online shopping, 6 points on offline shopping, and 4 points on select categories.","NILL","Annual fee waived if spends exceed ₹2 lakh in the previous year.","NILL","12 points per ₹200 on online shopping, 6 points on offline shopping, 4 points on select categories.","Complimentary airport lounge access, golf benefits, and accelerated rewards on spends.","Complimentary insurance coverage, lost card liability, and contactless payments.","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver on transactions between ₹400 and ₹5000.","NILL","NILL","Complimentary airport lounge access and travel insurance.","25% discount on movie tickets booked through BookMyShow.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 domestic lounge visits per quarter, 3 international visits per year.","NILL","Lost card liability of ₹3 lakhs, credit shield cover of ₹3 lakhs.","NILL","NILL","NILL","Yes, accepted worldwide.","The YES BANK ELITE+ Credit Card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","21 to 60 years of age, minimum net salary of ₹1 lakh per month or income tax return of ₹9 lakhs and above.","All dues must be paid on time; rewards program subject to change."
"YES BANK Ltd.","Klick RuPay Credit Card","Retail","Cashback","Zero Joining Fees & Annual Fees, 1% Fuel Surcharge Waiver, 2 Rewards for every Rs. 200 non-UPI spends","https://www.yesbank.in/content/published/api/v1.1/assets/CONT258F0D2CB74942B78AFC1248447B1723/native/klick-credit-card.png?channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/klick-credit-card","https://www.creditklick.com/Credit-score","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 Rewards for every Rs. 200 non-UPI spends","Yes","NILL","Yes, on spends above ₹1,500","NILL","NILL","Safe & secure payments, 100% virtual credit card","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Yes, accepted on UPI platform","This card offers cashbacks on UPI payments, with zero joining and annual fees, making it ideal for modern consumers.","Existing YES BANK Credit Cardholders are not eligible for this card","NILL"
"YES BANK","FinBooster Credit Card","Co-branded","Rewards","Lifetime-Free Credit Card with complimentary CreditStrong Report","https://www.yesbank.in/content/published/api/v1.1/assets/CONT258F0D2CB74942B78AFC1248447B1723/native/cc-finbooster-card-img.png?channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/finbooster-card","https://yesorigins.yesbank.in/CCLead/ApplicantDetails?uid=ab287&utm_campaign=banner&utm_content=CCapplynow&utm_medium=featuredcards&utm_source=website","₹0","₹0","NILL","NILL","47.88%","₹100","NILL","NILL","NILL","NILL","2.5% of amount withdrawn or ₹500, whichever is higher","10% of the amount that is outstanding or ₹1,350, whichever is lower","₹500","3.40%","NILL","1%","1% fee + applicable GST","NILL","1% fee + applicable GST on every fuel transaction of value greater than ₹10,000","1% + applicable GST on all utility transactions on spends above ₹15,000 in a month, capped at ₹3000","Earn 10 points on online dining, 6 points on online grocery/apparel, 2 points on other retail spends","NILL","NILL","Yes, on spends above ₹2,500","10 points on online dining, 6 points on online grocery/apparel, 2 points on other retail spends","Free subscription to CreditStrong, 1% fuel surcharge waiver","Lifetime-Free Credit Card, Accelerated Reward Points, Credit fitness benefits","NILL","Free subscription to CreditStrong","NILL","NILL","NILL","1% fuel surcharge waiver on transactions between ₹400 - ₹5,000","Accelerated rewards on online dining","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","₹2.5 lakh accidental death cover","NILL","NILL","NILL","Yes, accepted worldwide","The FinBooster Credit Card offers a unique combination of rewards and benefits, including a lifetime-free subscription to CreditStrong, making it ideal for those looking to enhance their credit fitness while enjoying various rewards.","Between 21 and 60 years of age, Salaried or self-employed, Minimum net salary of ₹25,000 per month or Income Tax Return of ₹7.5 lakh","All dues must be paid on time; rewards program subject to change."
"YES BANK","PaisaSave RuPay Credit Card","Cashback","Shopping","3% cashback on online purchases and unlimited 1.5% cashback on offline purchases","https://www.yesbank.in/content/published/api/v1.1/assets/CONTFDADB7F1E7374BEA83C8796C8CB29F5A/native/cc-card-paisabazar-paisasave-icon.png?channelToken=21f7ccfa2fc3401091938f541a6f8f2a","https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/paisabazaar-rupay-credit-card","","Nil","499","Annual fee waived on spending ₹1.2 lakh in the previous year","NILL","3.99% per month (47.88% annually)","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% on transactions above ₹10,000","1% on transactions above ₹15,000","3% cashback on online purchases, 1.5% on others","Yes","Annual fee waived on spending ₹1.2 lakh in the previous year","Yes, on transactions above ₹1,500","6 points per ₹200 spent online, 3 points per ₹200 spent offline","Cashback points redeemable as statement credit","Fuel surcharge waiver, cashback on all spends","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Yes","The YES BANK Paisabazaar PaisaSave Credit Card offers substantial cashback on everyday purchases, both online and offline, making it a must-have for value-conscious customers.","Age: 21 to 60 years, Minimum Income: ₹25,000 per month or ITR of ₹5 lakh","Annual fee waived on spending ₹1.2 lakh in the previous year."
